Site;SS03 Av Corsier 8-10 (ID 3203);SS03 Av Corsier 8-10 (ID 3203);SS03 Av Corsier 8-10 (ID 3203);SS03 Av Corsier 8-10 (ID 3203)
Object;Compteur d'énergie sous-station;Compteur d'énergie sous-station;Compteur d'énergie sous-station;Régulation primaire (échangeur 1)
Time Stamp;Puissance [kW];Température depart [°C];Température retour [°C];Temp depart secondaire [°C]
2023-01-01 00:00:00;0;76.0;55.0;72.2
2023-01-01 01:00:00;1;57.4;45.6;44.1
2023-01-01 02:00:00;12;75.5;24.4;34.1
2023-01-01 03:00:00;28;76.5;54.0;68.1
2023-01-01 04:00:00;8;65.0;34.8;34.6
2023-01-01 05:00:00;11;76.8;24.0;32.9
2023-01-01 06:00:00;30;73.7;52.7;59.8
2023-01-01 07:00:00;22;78.9;25.1;35.5
2023-01-01 08:00:00;21;79.4;25.6;34.1
2023-01-01 09:00:00;23;75.5;52.7;60.6
2023-01-01 10:00:00;19;77.9;26.9;34.5
2023-01-01 11:00:00;21;79.0;26.0;34.5
2023-01-01 12:00:00;25;75.7;54.0;67.4
2023-01-01 13:00:00;3;63.2;35.0;35.9
2023-01-01 14:00:00;39;77.1;35.5;49.9
2023-01-01 15:00:00;5;65.1;52.8;55.9
2023-01-01 16:00:00;13;76.4;25.5;33.1
2023-01-01 17:00:00;37;78.9;36.8;49.1
2023-01-01 18:00:00;4;68.4;45.3;50.1
2023-01-01 19:00:00;18;78.7;25.0;34.1
2023-01-01 20:00:00;33;77.4;49.5;62.6
2023-01-01 21:00:00;13;73.0;30.4;34.5
2023-01-01 22:00:00;39;79.3;33.8;46.9
2023-01-01 23:00:00;7;68.6;54.3;61.1
2023-01-02 00:00:00;4;70.3;28.4;37.2
2023-01-02 01:00:00;21;76.6;35.0;47.4
2023-01-02 02:00:00;3;66.4;54.5;59.7
2023-01-02 03:00:00;16;66.9;52.5;59.7
2023-01-02 04:00:00;8;67.8;29.2;33.8
2023-01-02 05:00:00;21;78.5;42.1;53.6
2023-01-02 06:00:00;13;72.7;38.7;43.0
2023-01-02 07:00:00;18;79.4;25.0;34.0
2023-01-02 08:00:00;37;79.9;37.0;48.8
2023-01-02 09:00:00;9;72.3;43.8;46.8
2023-01-02 10:00:00;17;79.0;25.4;34.5
2023-01-02 11:00:00;39;79.9;48.6;64.6
2023-01-02 12:00:00;7;67.2;39.5;40.5
2023-01-02 13:00:00;11;77.7;25.0;33.5
2023-01-02 14:00:00;34;78.3;47.5;62.1
2023-01-02 15:00:00;0;55.0;50.5;50.9
2023-01-02 16:00:00;16;69.3;30.5;39.9
2023-01-02 17:00:00;18;74.1;54.6;65.7
2023-01-02 18:00:00;6;65.3;33.1;33.8
2023-01-02 19:00:00;37;78.0;35.7;49.1
2023-01-02 20:00:00;10;68.8;51.5;56.6
2023-01-02 21:00:00;39;78.2;31.1;43.9
2023-01-02 22:00:00;18;71.8;53.1;59.4
2023-01-02 23:00:00;8;72.4;25.1;33.8
2023-01-03 00:00:00;7;72.5;24.4;35.3
2023-01-03 01:00:00;20;76.2;54.8;68.2
2023-01-03 02:00:00;2;57.8;39.9;37.7
2023-01-03 03:00:00;1;61.5;24.9;35.6
2023-01-03 04:00:00;24;76.1;55.2;66.9
2023-01-03 05:00:00;5;61.8;37.8;36.4
2023-01-03 06:00:00;16;78.7;24.7;34.2
2023-01-03 07:00:00;24;77.0;50.8;60.3
2023-01-03 08:00:00;14;73.7;29.9;34.2
2023-01-03 09:00:00;25;78.8;26.8;36.8
2023-01-03 10:00:00;20;71.7;54.1;61.1
2023-01-03 11:00:00;16;78.1;25.5;34.2
2023-01-03 12:00:00;34;79.3;36.8;50.3
2023-01-03 13:00:00;9;70.8;46.7;50.3
2023-01-03 14:00:00;17;78.7;25.0;34.2
2023-01-03 15:00:00;32;79.2;37.5;49.7
2023-01-03 16:00:00;7;70.2;44.6;48.0
2023-01-03 17:00:00;18;78.8;25.0;34.2
2023-01-03 18:00:00;46;79.3;48.8;64.6
2023-01-03 19:00:00;14;73.1;33.5;37.0
2023-01-03 20:00:00;20;79.1;26.0;36.3
2023-01-03 21:00:00;35;77.3;48.9;60.2
2023-01-03 22:00:00;18;76.2;28.9;35.1
2023-01-03 23:00:00;28;76.7;33.8;46.5
2023-01-04 00:00:00;10;69.7;54.8;61.8
2023-01-04 01:00:00;7;69.1;29.9;34.5
2023-01-04 02:00:00;22;77.4;33.0;43.8
2023-01-04 03:00:00;5;66.8;55.6;58.3
2023-01-04 04:00:00;11;74.1;26.4;33.0
2023-01-04 05:00:00;24;78.3;32.8;43.2
2023-01-04 06:00:00;18;74.9;43.9;52.0
2023-01-04 07:00:00;28;79.5;25.9;36.2
2023-01-04 08:00:00;44;79.8;36.9;50.3
2023-01-04 09:00:00;13;74.1;40.7;47.0
2023-01-04 10:00:00;24;79.2;27.3;38.0
2023-01-04 11:00:00;25;75.2;53.6;65.8
2023-01-04 12:00:00;10;70.9;30.7;34.1
2023-01-04 13:00:00;13;77.6;26.3;35.1
2023-01-04 14:00:00;19;73.6;54.9;64.6
2023-01-04 15:00:00;9;71.4;30.1;33.6
2023-01-04 16:00:00;32;78.2;31.2;42.0
2023-01-04 17:00:00;15;71.3;50.5;57.8
2023-01-04 18:00:00;17;78.5;25.3;34.2
2023-01-04 19:00:00;36;79.4;48.1;63.1
2023-01-04 20:00:00;11;71.3;35.0;38.1
2023-01-04 21:00:00;27;79.0;26.9;37.6
2023-01-04 22:00:00;24;74.0;53.9;63.3
2023-01-04 23:00:00;8;72.6;26.1;34.1
2023-01-05 00:00:00;20;76.4;31.6;44.8
2023-01-05 01:00:00;6;67.4;54.4;59.4
2023-01-05 02:00:00;6;70.6;28.4;33.9
2023-01-05 03:00:00;30;78.2;36.2;47.7
2023-01-05 04:00:00;3;64.4;51.9;53.0
2023-01-05 05:00:00;12;76.5;25.1;33.1
2023-01-05 06:00:00;38;79.5;33.0;46.2
2023-01-05 07:00:00;13;73.3;46.1;50.8
2023-01-05 08:00:00;21;79.2;25.8;34.4
2023-01-05 09:00:00;31;79.2;34.0;45.6
2023-01-05 10:00:00;12;72.0;46.4;51.5
2023-01-05 11:00:00;14;79.1;25.9;34.2
2023-01-05 12:00:00;42;79.9;48.7;64.6
2023-01-05 13:00:00;6;68.4;39.3;41.1
2023-01-05 14:00:00;9;76.8;25.6;34.1
2023-01-05 15:00:00;34;78.2;47.2;59.7
2023-01-05 16:00:00;6;66.4;39.5;40.4
2023-01-05 17:00:00;13;78.4;26.0;33.9
2023-01-05 18:00:00;36;78.3;49.9;64.1
2023-01-05 19:00:00;15;73.6;31.7;35.6
2023-01-05 20:00:00;36;79.3;31.6;45.0
2023-01-05 21:00:00;17;73.9;48.9;55.6
2023-01-05 22:00:00;23;79.0;26.0;35.8
2023-01-05 23:00:00;35;78.3;51.9;67.4
2023-01-06 00:00:00;7;66.7;36.9;37.5
2023-01-06 01:00:00;14;78.3;26.0;34.3
2023-01-06 02:00:00;21;76.3;52.3;62.8
2023-01-06 03:00:00;12;72.1;31.8;34.8
2023-01-06 04:00:00;17;78.8;26.0;34.5
2023-01-06 05:00:00;30;77.6;50.0;60.7
2023-01-06 06:00:00;35;76.3;30.6;34.1
2023-01-06 07:00:00;19;79.8;27.0;36.9
2023-01-06 08:00:00;23;79.2;46.9;58.2
2023-01-06 09:00:00;19;76.0;31.9;36.7
2023-01-06 10:00:00;36;80.2;34.0;47.9
2023-01-06 11:00:00;15;71.0;50.3;58.2
2023-01-06 12:00:00;12;78.5;26.2;35.0
2023-01-06 13:00:00;40;80.1;43.2;58.1
2023-01-06 14:00:00;4;67.1;42.7;44.7
2023-01-06 15:00:00;13;78.2;26.0;34.2
2023-01-06 16:00:00;30;79.4;47.7;62.9
2023-01-06 17:00:00;5;66.4;37.2;39.3
2023-01-06 18:00:00;47;79.9;44.5;59.3
2023-01-06 19:00:00;8;71.9;39.5;43.2
2023-01-06 20:00:00;40;76.2;51.2;65.0
2023-01-06 21:00:00;26;75.7;32.3;40.6
2023-01-06 22:00:00;14;72.4;48.9;55.2
2023-01-06 23:00:00;27;75.9;29.5;40.9
