Site;SS06 Rte du Stand 1 (ID 3206);SS06 Rte du Stand 1 (ID 3206);SS06 Rte du Stand 1 (ID 3206);SS06 Rte du Stand 1 (ID 3206)
Object;Compteur d'énergie sous-station;Compteur d'énergie sous-station;Compteur d'énergie sous-station;Régulation primaire (échangeur 1)
Time Stamp;Puissance [kW];Température depart [°C];Température retour [°C];Temp depart secondaire [°C]
2023-01-01 00:00:00;9;79.0;37.0;50.0
2023-01-01 01:00:00;10;79.5;37.0;50.4
2023-01-01 02:00:00;15;79.8;47.0;59.7
2023-01-01 03:00:00;10;79.4;37.0;50.5
2023-01-01 04:00:00;10;79.5;37.0;50.5
2023-01-01 05:00:00;10;79.7;37.0;50.5
2023-01-01 06:00:00;13;79.7;38.2;52.9
2023-01-01 07:00:00;12;79.9;39.9;53.5
2023-01-01 08:00:00;12;79.9;40.0;53.8
2023-01-01 09:00:00;12;79.9;40.0;54.0
2023-01-01 10:00:00;12;80.1;40.0;53.7
2023-01-01 11:00:00;10;80.0;39.8;52.7
2023-01-01 12:00:00;8;79.6;38.4;50.5
2023-01-01 13:00:00;2;72.4;34.4;49.7
2023-01-01 14:00:00;0;54.2;28.2;49.8
2023-01-01 15:00:00;0;47.7;26.1;44.9
2023-01-01 16:00:00;6;59.8;25.3;42.0
2023-01-01 17:00:00;15;79.8;31.4;48.0
2023-01-01 18:00:00;12;79.7;36.3;50.5
2023-01-01 19:00:00;11;79.5;37.8;51.4
2023-01-01 20:00:00;11;79.5;38.5;52.1
2023-01-01 21:00:00;11;79.7;39.0;52.6
2023-01-01 22:00:00;12;79.6;39.4;53.1
2023-01-01 23:00:00;8;79.2;38.5;50.5
2023-01-02 00:00:00;10;79.5;37.2;50.5
2023-01-02 01:00:00;14;79.9;41.9;55.4
2023-01-02 02:00:00;10;79.5;42.4;54.4
2023-01-02 03:00:00;10;79.7;37.0;50.5
2023-01-02 04:00:00;10;79.7;37.0;50.6
2023-01-02 05:00:00;10;79.8;37.0;50.6
2023-01-02 06:00:00;13;79.8;38.7;53.3
2023-01-02 07:00:00;12;80.1;40.0;53.4
2023-01-02 08:00:00;12;79.9;40.0;53.3
2023-01-02 09:00:00;11;79.9;40.0;53.3
2023-01-02 10:00:00;11;80.0;39.9;52.8
2023-01-02 11:00:00;9;79.9;38.8;51.7
2023-01-02 12:00:00;10;79.9;38.0;51.3
2023-01-02 13:00:00;4;78.3;36.7;47.9
2023-01-02 14:00:00;0;59.4;29.7;51.4
2023-01-02 15:00:00;0;49.3;26.3;46.4
2023-01-02 16:00:00;6;72.2;26.5;40.8
2023-01-02 17:00:00;7;78.7;29.1;42.5
2023-01-02 18:00:00;5;77.9;30.0;42.5
2023-01-02 19:00:00;9;78.7;30.5;44.7
2023-01-02 20:00:00;11;79.6;33.8;48.3
2023-01-02 21:00:00;10;79.0;35.8;49.7
2023-01-02 22:00:00;10;79.0;37.0;50.1
2023-01-02 23:00:00;10;79.4;37.0;50.1
2023-01-03 00:00:00;9;79.2;37.0;50.0
2023-01-03 01:00:00;13;79.2;46.8;59.0
2023-01-03 02:00:00;10;79.2;37.0;50.1
2023-01-03 03:00:00;8;78.2;35.5;54.0
2023-01-03 04:00:00;10;79.1;36.7;50.0
2023-01-03 05:00:00;9;79.2;37.0;50.1
2023-01-03 06:00:00;10;79.3;37.1;50.7
2023-01-03 07:00:00;10;79.3;37.9;50.9
2023-01-03 08:00:00;10;79.2;38.0;50.9
2023-01-03 09:00:00;10;79.3;38.0;50.8
2023-01-03 10:00:00;10;79.3;38.0;50.7
2023-01-03 11:00:00;10;79.2;37.1;50.5
2023-01-03 12:00:00;10;79.4;37.0;50.5
2023-01-03 13:00:00;10;79.3;37.0;50.6
2023-01-03 14:00:00;10;79.3;37.0;50.5
2023-01-03 15:00:00;10;79.2;37.0;50.6
2023-01-03 16:00:00;9;79.2;37.0;50.1
2023-01-03 17:00:00;9;79.1;37.0;50.1
2023-01-03 18:00:00;11;79.2;37.1;51.0
2023-01-03 19:00:00;11;79.6;38.3;52.0
2023-01-03 20:00:00;12;79.6;39.0;52.7
2023-01-03 21:00:00;12;79.8;39.8;53.3
2023-01-03 22:00:00;11;79.7;39.8;52.7
2023-01-03 23:00:00;8;79.2;38.4;50.5
2023-01-04 00:00:00;10;79.3;37.0;50.4
2023-01-04 01:00:00;13;80.2;47.6;59.6
2023-01-04 02:00:00;10;79.6;37.0;50.5
2023-01-04 03:00:00;9;79.4;37.0;50.4
2023-01-04 04:00:00;9;79.6;37.0;50.4
2023-01-04 05:00:00;9;79.7;37.0;50.5
2023-01-04 06:00:00;14;79.8;38.4;53.3
2023-01-04 07:00:00;12;80.0;40.0;53.9
2023-01-04 08:00:00;11;79.9;40.0;53.3
2023-01-04 09:00:00;11;79.9;40.0;53.2
2023-01-04 10:00:00;10;79.9;39.7;52.7
2023-01-04 11:00:00;9;79.8;39.0;51.7
2023-01-04 12:00:00;8;79.4;37.5;50.0
2023-01-04 13:00:00;9;79.5;37.0;49.6
2023-01-04 14:00:00;8;79.2;36.6;49.1
2023-01-04 15:00:00;10;79.3;36.6;49.9
2023-01-04 16:00:00;10;79.4;37.0;50.0
2023-01-04 17:00:00;9;79.2;37.0;50.1
2023-01-04 18:00:00;11;79.5;37.3;51.0
2023-01-04 19:00:00;10;79.6;38.0;51.1
2023-01-04 20:00:00;10;79.6;38.0;51.3
2023-01-04 21:00:00;10;79.3;38.0;51.3
2023-01-04 22:00:00;10;79.6;38.0;51.6
2023-01-04 23:00:00;9;79.4;37.6;50.3
2023-01-05 00:00:00;12;79.8;46.1;58.9
2023-01-05 01:00:00;9;79.3;37.9;50.8
2023-01-05 02:00:00;10;79.5;37.0;50.3
2023-01-05 03:00:00;10;79.6;37.0;50.3
2023-01-05 04:00:00;9;79.3;37.0;50.3
2023-01-05 05:00:00;10;79.6;37.0;50.2
2023-01-05 06:00:00;12;79.9;37.7;51.7
2023-01-05 07:00:00;10;79.5;38.0;51.8
2023-01-05 08:00:00;11;79.7;38.5;51.7
2023-01-05 09:00:00;10;79.8;38.3;51.6
2023-01-05 10:00:00;10;79.9;38.0;51.4
2023-01-06 04:00:00;10;80.0;38.0;51.1
2023-01-06 05:00:00;10;80.0;38.0;51.2
2023-01-06 07:00:00;14;80.0;42.0;55.8
2023-01-06 08:00:00;14;80.4;42.0;55.9
2023-01-06 09:00:00;13;80.3;42.0;55.7
2023-01-06 10:00:00;12;80.1;41.5;54.7
2023-01-06 11:00:00;12;80.2;41.0;54.6
2023-01-06 12:00:00;9;80.1;39.9;52.0
2023-01-06 13:00:00;8;79.8;38.3;50.6
2023-01-06 14:00:00;3;72.6;34.5;51.7
2023-01-06 15:00:00;4;63.6;29.2;48.7
2023-01-06 16:00:00;13;79.9;32.6;48.0
2023-01-06 17:00:00;11;80.0;36.5;50.2
2023-01-06 18:00:00;12;80.1;37.6;51.7
2023-01-06 19:00:00;11;80.0;39.0;52.0
2023-01-06 20:00:00;11;80.0;39.0;52.0
2023-01-06 21:00:00;11;80.0;39.0;52.2
2023-01-06 22:00:00;11;80.0;39.0;52.2
2023-01-06 23:00:00;8;79.8;38.1;50.4
2023-01-07 00:00:00;10;80.0;37.0;50.5
2023-01-07 01:00:00;10;79.9;37.0;50.6
2023-01-07 02:00:00;10;79.9;37.0;50.7
2023-01-07 03:00:00;10;79.8;37.9;50.8
2023-01-07 04:00:00;10;80.0;37.8;50.9
2023-01-07 05:00:00;10;80.2;38.0;50.9
2023-01-07 06:00:00;16;80.1;39.5;54.9
2023-01-07 07:00:00;14;80.6;41.3;55.5
2023-01-07 08:00:00;14;80.5;42.0;56.1
2023-01-07 09:00:00;14;80.5;42.4;56.6
2023-01-07 10:00:00;13;80.5;43.0;56.5
2023-01-07 11:00:00;13;80.7;42.4;56.1
2023-01-07 12:00:00;10;80.4;41.3;53.7
2023-01-07 13:00:00;11;80.4;47.9;59.3
2023-01-07 14:00:00;3;72.9;35.0;53.2
2023-01-07 15:00:00;6;77.2;31.9;45.2
2023-01-07 16:00:00;11;79.6;32.9;47.7
2023-01-07 17:00:00;11;80.2;36.6;50.4
