Site;SS10 Rue du Panorama 2 (ID 3210);SS10 Rue du Panorama 2 (ID 3210);SS10 Rue du Panorama 2 (ID 3210);SS10 Rue du Panorama 2 (ID 3210);SS10 Rue du Panorama 2 (ID 3210);SS10 Rue du Panorama 2 (ID 3210)
Object;Compteur d'énergie sous-station;Compteur d'énergie sous-station;Compteur d'énergie sous-station;Compteur d'énergie sous-station 2;Compteur d'énergie sous-station 2;Compteur d'énergie sous-station 2
Time Stamp;Puissance [kW];Température depart [°C];Température retour [°C];Puissance [kW];Température depart [°C];Température retour [°C]
2023-01-01 00:00:00;;;;;;
2023-01-01 01:00:00;281;80.0;67.9;219;80.2;68.0
2023-01-01 02:00:00;290;80.2;68.1;234;80.2;68.1
2023-01-01 03:00:00;303;80.2;67.9;250;80.2;67.9
2023-01-01 04:00:00;299;80.2;68.0;243;80.2;68.0
2023-01-01 05:00:00;314;80.2;68.1;245;80.3;68.0
2023-01-01 06:00:00;371;80.6;67.3;307;80.6;67.4
2023-01-01 07:00:00;423;80.4;66.1;395;80.6;66.9
2023-01-01 08:00:00;394;80.6;68.0;352;80.7;68.6
2023-01-01 09:00:00;402;80.7;67.9;339;80.8;67.9
2023-01-01 10:00:00;401;80.7;68.1;337;80.8;68.1
2023-01-01 11:00:00;371;80.7;68.8;286;80.9;68.5
2023-01-01 12:00:00;300;80.9;68.3;228;80.9;68.2
2023-01-01 13:00:00;214;80.7;68.1;177;80.9;68.2
2023-01-01 14:00:00;187;80.3;68.4;169;80.5;68.4
2023-01-01 15:00:00;278;80.5;67.8;226;80.6;67.9
2023-01-01 16:00:00;270;80.4;67.9;213;80.5;68.0
2023-01-01 17:00:00;336;80.1;67.9;260;80.2;68.0
2023-01-01 18:00:00;348;80.2;67.9;278;80.2;68.1
2023-01-01 19:00:00;341;80.5;68.0;259;80.5;67.9
2023-01-01 20:00:00;339;80.2;68.0;272;80.3;68.0
2023-01-01 21:00:00;381;80.3;68.0;309;80.4;68.0
2023-01-01 22:00:00;376;80.3;67.9;300;80.4;68.0
2023-01-01 23:00:00;317;80.4;68.4;247;80.5;68.2
2023-01-02 00:00:00;287;80.0;68.0;226;80.0;68.0
2023-01-02 01:00:00;265;80.3;68.1;217;80.3;68.0
2023-01-02 02:00:00;303;80.2;67.9;239;80.3;68.1
2023-01-02 03:00:00;269;80.1;68.0;213;80.3;68.1
2023-01-02 04:00:00;289;80.2;67.8;234;80.3;67.8
2023-01-02 05:00:00;359;80.5;68.0;290;80.6;68.1
2023-01-02 06:00:00;371;80.5;67.6;305;80.5;67.6
2023-01-02 07:00:00;426;80.7;67.0;382;80.8;67.4
2023-01-02 08:00:00;396;80.9;68.8;325;80.9;68.8
2023-01-02 09:00:00;408;80.7;67.7;334;80.7;67.8
2023-01-02 10:00:00;403;80.8;68.3;331;80.8;68.2
2023-01-02 11:00:00;345;80.9;67.9;261;81.0;67.9
2023-01-02 12:00:00;360;80.9;68.5;291;80.9;68.4
2023-01-02 13:00:00;321;80.8;68.3;259;80.9;68.3
2023-01-02 14:00:00;180;80.5;68.3;177;80.6;68.5
2023-01-02 15:00:00;247;80.6;68.1;209;80.6;68.2
2023-01-02 16:00:00;282;80.2;67.6;228;80.4;67.6
2023-01-02 17:00:00;351;80.3;68.1;284;80.5;68.1
2023-01-02 18:00:00;287;80.4;68.4;220;80.5;68.3
2023-01-02 19:00:00;315;80.0;67.7;250;80.0;67.8
2023-01-02 20:00:00;283;80.1;68.0;220;80.1;68.0
2023-01-02 21:00:00;317;80.3;68.2;247;80.4;68.1
2023-01-02 22:00:00;323;79.8;67.8;253;79.8;67.8
2023-01-02 23:00:00;267;80.0;68.4;203;80.0;68.3
2023-01-03 00:00:00;287;80.0;67.8;232;80.0;67.8
2023-01-03 01:00:00;238;80.2;68.1;203;80.2;68.2
2023-01-03 02:00:00;280;79.5;67.9;227;79.7;67.9
2023-01-03 03:00:00;269;79.9;68.0;212;79.9;68.1
2023-01-03 04:00:00;295;80.0;68.1;228;80.1;68.1
2023-01-03 05:00:00;289;79.9;67.4;232;79.9;67.5
2023-01-03 06:00:00;374;80.1;67.8;310;80.1;67.9
2023-01-03 07:00:00;394;80.3;66.6;356;80.4;67.0
2023-01-03 08:00:00;384;80.1;66.9;370;80.2;67.9
2023-01-03 09:00:00;391;80.1;66.5;376;80.2;67.4
2023-01-03 10:00:00;387;80.2;66.9;372;80.4;67.8
2023-01-03 11:00:00;359;80.2;67.0;345;80.2;67.8
2023-01-03 12:00:00;389;80.1;66.5;375;80.1;67.5
2023-01-03 13:00:00;380;80.4;66.9;368;80.5;67.7
2023-01-03 14:00:00;391;80.3;66.6;377;80.3;67.6
2023-01-03 15:00:00;372;80.1;67.0;357;80.3;67.8
2023-01-03 16:00:00;365;80.2;67.0;352;80.3;68.0
2023-01-03 17:00:00;375;80.2;66.8;362;80.3;67.7
2023-01-03 18:00:00;374;80.1;66.8;362;80.1;67.7
2023-01-03 19:00:00;366;80.0;67.1;350;80.1;67.8
2023-01-03 20:00:00;353;80.2;68.0;315;80.3;68.4
2023-01-03 21:00:00;399;80.3;67.9;331;80.4;68.0
2023-01-03 22:00:00;378;80.2;68.9;291;80.2;68.6
2023-01-03 23:00:00;341;80.2;68.5;268;80.2;68.4
2023-01-04 00:00:00;312;80.2;68.1;246;80.3;68.0
2023-01-04 01:00:00;255;80.1;67.8;209;80.1;67.9
2023-01-04 02:00:00;311;80.1;68.0;241;80.1;68.0
2023-01-04 03:00:00;291;80.6;68.1;222;80.7;68.1
2023-01-04 04:00:00;318;80.2;68.1;250;80.2;68.0
2023-01-04 05:00:00;337;80.2;67.8;267;80.3;67.8
2023-01-04 06:00:00;388;80.5;67.3;321;80.7;67.4
2023-01-04 07:00:00;452;80.4;64.8;431;80.4;65.6
2023-01-04 08:00:00;421;80.7;66.3;408;80.8;67.2
2023-01-04 09:00:00;451;80.7;65.0;439;80.8;66.0
2023-01-04 10:00:00;407;80.7;66.3;396;80.8;67.3
2023-01-04 11:00:00;380;80.8;67.8;356;80.8;68.4
2023-01-04 12:00:00;378;80.8;68.7;301;80.8;68.6
2023-01-04 13:00:00;375;80.7;68.0;301;80.8;67.9
2023-01-04 14:00:00;387;80.5;67.6;340;80.6;67.7
2023-01-04 15:00:00;390;80.4;67.4;348;80.5;67.7
2023-01-04 16:00:00;371;80.3;68.3;305;80.4;68.3
2023-01-04 17:00:00;400;80.4;66.8;373;80.4;67.2
2023-01-04 18:00:00;369;80.2;67.7;343;80.4;68.5
2023-01-04 19:00:00;367;80.3;68.3;310;80.4;68.2
2023-01-04 20:00:00;355;80.5;68.4;275;80.6;68.1
2023-01-04 21:00:00;345;80.2;68.4;284;80.3;68.4
2023-01-04 22:00:00;350;80.2;67.7;277;80.2;67.8
2023-01-04 23:00:00;318;80.3;68.6;243;80.3;68.5
2023-01-05 00:00:00;302;80.0;67.9;243;80.1;68.0
2023-01-05 01:00:00;276;80.3;68.0;207;80.4;68.0
2023-01-05 02:00:00;295;80.1;68.1;239;80.1;68.0
2023-01-05 03:00:00;275;80.1;67.9;247;80.3;67.9
2023-01-05 04:00:00;310;80.3;67.8;257;80.4;67.9
2023-01-05 05:00:00;293;80.0;67.9;231;80.0;68.1
2023-01-05 06:00:00;363;80.3;67.8;295;80.4;67.7
2023-01-05 07:00:00;393;80.6;66.4;360;80.7;66.9
2023-01-05 08:00:00;400;80.4;67.1;378;80.5;68.1
2023-01-05 09:00:00;401;80.5;67.4;367;80.5;68.0
2023-01-05 10:00:00;389;80.6;67.1;367;80.7;67.8
2023-01-05 11:00:00;393;80.7;67.1;377;80.9;68.0
2023-01-05 12:00:00;384;80.7;68.3;325;80.8;68.6
2023-01-05 13:00:00;379;80.6;68.1;306;80.7;68.1
2023-01-05 14:00:00;291;80.4;69.0;222;80.5;68.9
2023-01-05 15:00:00;337;80.3;67.4;278;80.4;67.5
2023-01-05 16:00:00;362;80.1;67.4;302;80.2;67.4
2023-01-05 17:00:00;365;80.3;67.5;336;80.3;68.0
2023-01-05 18:00:00;371;80.1;67.9;322;80.2;68.0
2023-01-05 19:00:00;359;80.1;68.5;294;80.1;68.4
2023-01-05 20:00:00;352;80.2;67.8;289;80.3;67.8
2023-01-05 21:00:00;364;80.0;68.7;290;80.2;68.4
2023-01-05 22:00:00;365;80.3;67.4;294;80.4;67.4
2023-01-05 23:00:00;354;80.4;69.2;275;80.6;69.0
2023-01-06 00:00:00;332;80.2;67.7;266;80.2;67.7
2023-01-06 01:00:00;331;80.3;68.2;256;80.4;68.2
2023-01-06 02:00:00;349;80.2;67.9;283;80.4;67.9
2023-01-06 03:00:00;334;80.7;68.0;256;80.8;68.1
2023-01-06 04:00:00;368;80.7;68.0;291;80.7;68.0
2023-01-06 05:00:00;337;80.3;68.0;258;80.3;67.9
2023-01-06 06:00:00;418;81.0;67.6;343;81.0;67.9
2023-01-06 07:00:00;436;80.9;66.3;400;81.0;67.0
2023-01-06 08:00:00;417;81.0;67.0;400;81.0;68.0
2023-01-06 09:00:00;434;81.0;66.7;417;81.0;67.8
2023-01-06 10:00:00;430;81.0;67.0;410;81.0;68.1
2023-01-06 11:00:00;411;81.0;68.4;367;81.0;68.7
2023-01-06 12:00:00;411;81.0;68.5;318;81.0;68.2
2023-01-06 13:00:00;348;81.1;68.3;264;81.2;68.2
2023-01-06 14:00:00;363;81.0;67.9;291;81.0;68.0
2023-01-06 15:00:00;337;81.0;68.0;276;81.0;68.0
2023-01-06 16:00:00;402;81.0;67.4;328;81.0;67.5
2023-01-06 17:00:00;398;81.0;68.5;324;81.0;68.5
2023-01-06 18:00:00;377;81.0;67.8;301;81.0;67.8
2023-01-06 19:00:00;368;81.0;68.4;292;81.1;68.4
2023-01-06 20:00:00;349;80.8;67.9;281;80.9;67.9
2023-01-06 21:00:00;351;80.9;68.3;276;80.9;68.3
2023-01-06 22:00:00;354;80.8;67.8;279;80.9;67.8
2023-01-06 23:00:00;320;80.9;68.2;256;81.0;68.1
2023-01-07 00:00:00;311;80.7;68.0;248;80.8;68.0
2023-01-07 01:00:00;327;80.7;67.9;256;80.8;67.9
2023-01-07 02:00:00;336;80.8;68.1;271;80.8;68.1
2023-01-07 03:00:00;342;81.0;68.1;279;81.0;68.0
2023-01-07 04:00:00;333;80.5;67.9;274;80.6;67.9
2023-01-07 05:00:00;363;81.0;68.1;295;81.0;68.1
2023-01-07 06:00:00;403;81.0;67.4;336;81.1;67.6
2023-01-07 07:00:00;448;80.8;66.0;406;80.9;66.6
2023-01-07 08:00:00;452;81.1;66.5;437;81.1;67.4
2023-01-07 09:00:00;470;81.2;66.0;454;81.3;67.0
2023-01-07 10:00:00;451;80.8;66.3;435;81.0;67.2
2023-01-07 11:00:00;417;81.2;68.5;366;81.3;69.1
2023-01-07 12:00:00;394;81.1;68.2;317;81.1;68.1
2023-01-07 13:00:00;328;81.1;68.0;255;81.2;67.9
2023-01-07 14:00:00;334;81.0;68.1;260;81.0;68.1
2023-01-07 15:00:00;367;81.0;67.9;292;81.1;67.9
2023-01-07 16:00:00;413;81.0;67.9;335;81.1;67.9
2023-01-07 17:00:00;411;81.1;68.0;339;81.2;67.9
2023-01-07 18:00:00;408;81.1;68.0;331;81.1;68.0
2023-01-07 19:00:00;405;81.0;68.0;327;81.0;68.0
2023-01-07 20:00:00;418;81.1;68.0;333;81.1;68.0
2023-01-07 21:00:00;396;81.0;68.2;316;81.0;68.1
2023-01-07 22:00:00;398;81.0;67.8;326;81.0;67.8
2023-01-07 23:00:00;365;81.0;68.3;297;81.0;68.3
2023-01-08 00:00:00;347;81.0;67.8;284;81.0;67.9
2023-01-08 01:00:00;339;81.0;68.0;277;81.1;68.0
2023-01-08 02:00:00;356;81.3;68.0;292;81.4;68.0
2023-01-08 03:00:00;340;81.2;68.0;275;81.3;68.0
2023-01-08 04:00:00;271;81.2;68.3;233;81.4;68.2
2023-01-08 05:00:00;345;81.2;68.1;281;81.2;68.0
2023-01-08 06:00:00;359;81.1;67.8;307;81.3;67.8
2023-01-08 07:00:00;430;81.2;67.9;355;81.4;67.8
2023-01-08 08:00:00;389;81.6;68.1;312;81.7;68.0
2023-01-08 09:00:00;408;81.4;67.9;328;81.5;68.0
2023-01-08 10:00:00;415;81.3;68.0;325;81.4;68.0
2023-01-08 11:00:00;407;81.3;67.9;326;81.6;68.0
2023-01-08 12:00:00;394;81.6;68.2;321;81.6;68.2
2023-01-08 13:00:00;382;81.4;68.0;308;81.5;67.9
2023-01-08 14:00:00;396;81.2;68.0;325;81.5;68.0
2023-01-08 15:00:00;394;81.3;68.1;313;81.5;68.0
2023-01-08 16:00:00;393;81.2;68.0;307;81.2;68.0
2023-01-08 17:00:00;393;81.2;68.1;311;81.3;68.1
2023-01-08 18:00:00;370;81.0;68.0;296;81.1;68.4
2023-01-08 19:00:00;391;81.1;67.9;324;81.2;67.9
2023-01-08 20:00:00;383;81.0;68.1;304;81.1;68.1
2023-01-08 21:00:00;434;81.0;67.7;363;81.0;67.7
2023-01-08 22:00:00;358;81.2;68.5;283;81.2;68.4
2023-01-08 23:00:00;369;81.1;68.2;297;81.2;68.2
2023-01-09 00:00:00;325;81.0;67.9;268;81.0;67.9
2023-01-09 01:00:00;328;81.0;68.0;261;81.0;68.1
2023-01-09 02:00:00;340;81.0;67.9;261;81.0;67.9
2023-01-09 03:00:00;366;81.3;67.9;299;81.3;67.9
2023-01-09 04:00:00;350;80.8;67.9;295;80.9;67.8
2023-01-09 05:00:00;386;81.0;67.9;326;81.0;68.0
2023-01-09 06:00:00;450;81.2;67.4;382;81.3;67.5
2023-01-09 07:00:00;457;81.0;66.7;417;81.0;67.3
2023-01-09 08:00:00;442;81.2;66.6;424;81.4;67.4
2023-01-09 09:00:00;490;81.2;65.7;469;81.3;66.9
2023-01-09 10:00:00;548;81.0;64.1;526;81.1;65.3
2023-01-09 11:00:00;519;81.1;65.2;497;81.1;66.5
2023-01-09 12:00:00;515;81.1;65.0;495;81.1;66.2
2023-01-09 13:00:00;529;81.3;64.8;508;81.4;66.1
2023-01-09 14:00:00;503;81.1;65.7;480;81.1;66.9
2023-01-09 15:00:00;507;81.1;64.9;488;81.2;66.2
2023-01-09 16:00:00;561;81.0;62.4;543;81.0;63.6
2023-01-09 17:00:00;534;81.0;63.9;518;81.2;64.9
2023-01-09 18:00:00;524;81.1;64.4;506;81.2;65.4
2023-01-09 19:00:00;485;81.0;66.0;464;81.0;67.2
2023-01-09 20:00:00;436;81.3;67.4;416;81.3;68.2
2023-01-09 21:00:00;465;81.5;67.8;409;81.6;68.3
