Site;SS13 Rte des Communaux 20 (ID 3213);SS13 Rte des Communaux 20 (ID 3213);SS13 Rte des Communaux 20 (ID 3213);SS13 Rte des Communaux 20 (ID 3213)
Object;Régulation primaire (échangeur 1);Compteur d'énergie sous-station;Compteur d'énergie sous-station;Compteur d'énergie sous-station
Time Stamp;Temp depart secondaire [°C];Puissance [kW];Température depart [°C];Température retour [°C]
2023-01-01 00:00:00;56.6;63;80.0;59.0
2023-01-01 01:00:00;57.7;64;79.9;60.7
2023-01-01 02:00:00;56.1;75;80.0;56.9
2023-01-01 03:00:00;62.2;41;80.0;66.7
2023-01-01 04:00:00;62.8;34;79.9;68.8
2023-01-01 05:00:00;60.0;48;79.8;64.8
2023-01-01 06:00:00;58.3;57;80.1;60.0
2023-01-01 07:00:00;59.3;44;79.8;60.4
2023-01-01 08:00:00;50.0;68;80.1;50.5
2023-01-01 09:00:00;57.7;52;80.0;57.7
2023-01-01 10:00:00;48.5;73;80.0;48.6
2023-01-01 11:00:00;51.9;71;80.1;50.7
2023-01-01 12:00:00;61.5;43;80.2;64.9
2023-01-01 13:00:00;57.2;68;80.2;59.5
2023-01-01 14:00:00;63.3;33;80.0;70.3
2023-01-01 15:00:00;62.6;35;80.1;68.1
2023-01-01 16:00:00;57.3;63;80.0;59.2
2023-01-01 17:00:00;55.4;60;79.8;57.6
2023-01-01 18:00:00;58.5;45;79.9;61.4
2023-01-01 19:00:00;57.6;56;79.9;59.4
2023-01-01 20:00:00;54.8;59;79.9;57.2
2023-01-01 21:00:00;60.8;43;79.8;63.0
2023-01-01 22:00:00;50.4;75;80.0;50.3
2023-01-01 23:00:00;60.7;48;79.9;63.8
2023-01-02 00:00:00;59.7;49;79.9;65.1
2023-01-02 01:00:00;60.7;49;80.1;65.4
2023-01-02 02:00:00;63.2;34;80.2;70.0
2023-01-02 03:00:00;58.2;67;79.7;60.8
2023-01-02 04:00:00;63.3;34;80.0;70.1
2023-01-02 05:00:00;62.9;34;80.1;69.0
2023-01-02 06:00:00;58.8;47;80.0;62.8
2023-01-02 07:00:00;57.2;53;80.0;57.8
2023-01-02 08:00:00;59.1;47;80.2;61.6
2023-01-02 09:00:00;53.1;69;80.1;53.2
2023-01-02 10:00:00;54.8;62;80.0;54.9
2023-01-02 11:00:00;59.5;52;80.1;60.9
2023-01-02 12:00:00;56.3;56;80.2;59.2
2023-01-02 13:00:00;61.8;41;80.0;66.2
2023-01-02 14:00:00;57.2;66;80.3;60.7
2023-01-02 15:00:00;63.3;30;80.1;70.3
2023-01-02 16:00:00;58.9;50;79.9;62.0
2023-01-02 17:00:00;61.9;32;79.9;67.0
2023-01-02 18:00:00;55.9;60;79.9;58.4
2023-01-02 19:00:00;56.1;50;79.6;59.6
2023-01-02 20:00:00;61.7;37;79.7;65.7
2023-01-02 21:00:00;58.6;47;79.7;62.5
2023-01-02 22:00:00;57.4;54;79.3;59.5
2023-01-02 23:00:00;57.3;59;79.6;60.5
2023-01-03 00:00:00;62.6;26;79.6;70.4
2023-01-03 01:00:00;58.5;64;79.9;61.1
2023-01-03 02:00:00;62.2;33;79.0;68.4
2023-01-03 03:00:00;62.8;32;79.5;69.6
2023-01-03 04:00:00;62.7;33;80.0;69.4
2023-01-03 05:00:00;57.2;63;79.5;59.6
2023-01-03 06:00:00;61.0;37;79.6;64.6
2023-01-03 07:00:00;54.2;51;79.7;56.6
2023-01-03 08:00:00;52.5;61;79.7;52.0
2023-01-03 09:00:00;57.4;46;79.7;58.6
2023-01-03 10:00:00;49.1;69;79.9;48.4
2023-01-03 11:00:00;50.1;64;79.7;49.1
2023-01-03 12:00:00;51.1;64;79.8;50.5
2023-01-03 13:00:00;51.3;63;79.9;50.6
2023-01-03 14:00:00;50.1;68;79.7;48.7
2023-01-03 15:00:00;51.1;63;79.7;50.5
2023-01-03 16:00:00;50.5;65;79.9;49.1
2023-01-03 17:00:00;50.6;64;79.8;49.6
2023-01-03 18:00:00;51.3;62;79.6;51.0
2023-01-03 19:00:00;51.4;62;79.7;50.7
2023-01-03 20:00:00;51.5;62;79.9;50.8
2023-01-03 21:00:00;51.8;65;79.8;51.0
2023-01-03 22:00:00;55.2;60;80.0;54.7
2023-01-03 23:00:00;58.4;55;80.0;61.6
