Site;SS16 Avenue des Crosets 40 (ID 3216);SS16 Avenue des Crosets 40 (ID 3216);SS16 Avenue des Crosets 40 (ID 3216);SS16 Avenue des Crosets 40 (ID 3216)
Object;Compteur d'énergie sous-station;Compteur d'énergie sous-station;Compteur d'énergie sous-station;Régulation primaire (échangeur 1)
Time Stamp;Puissance [kW];Température depart [°C];Température retour [°C];Temp depart secondaire [°C]
2023-01-01 00:00:00;2;72.0;30.0;37.1
2023-01-01 01:00:00;2;71.5;30.5;37.7
2023-01-01 02:00:00;2;71.6;30.6;38.2
2023-01-01 03:00:00;2;70.6;30.5;37.5
2023-01-01 04:00:00;15;80.4;76.9;79.9
2023-01-01 05:00:00;9;80.8;79.0;80.5
2023-01-01 06:00:00;8;80.5;78.7;80.3
2023-01-01 07:00:00;9;80.8;78.8;80.4
2023-01-01 08:00:00;12;80.8;78.2;80.4
2023-01-01 09:00:00;11;80.8;78.4;80.5
2023-01-01 10:00:00;11;81.0;78.6;80.6
2023-01-01 11:00:00;11;80.9;78.7;80.7
2023-01-01 12:00:00;9;81.0;79.0;80.7
2023-01-01 13:00:00;9;80.8;79.0;80.5
2023-01-01 14:00:00;8;81.0;79.1;80.6
2023-01-01 15:00:00;8;80.7;78.9;80.5
2023-01-01 16:00:00;8;80.5;78.8;80.2
2023-01-01 17:00:00;2;73.6;48.5;49.0
2023-01-01 18:00:00;3;74.9;36.5;43.5
2023-01-01 19:00:00;3;75.5;37.8;44.8
2023-01-01 20:00:00;3;75.5;39.1;46.0
2023-01-01 21:00:00;3;76.0;40.2;46.9
2023-01-01 22:00:00;4;76.2;41.1;47.8
2023-01-01 23:00:00;1;56.9;35.8;45.0
2023-01-02 00:00:00;2;70.1;30.7;37.6
2023-01-02 01:00:00;2;70.9;30.8;38.0
2023-01-02 02:00:00;2;70.7;30.6;37.8
2023-01-02 03:00:00;2;71.0;30.6;37.5
2023-01-02 04:00:00;2;71.4;30.8;38.4
2023-01-02 05:00:00;2;71.2;30.9;38.5
2023-01-02 06:00:00;2;72.1;31.2;38.8
2023-01-02 07:00:00;2;71.7;31.5;38.5
2023-01-02 08:00:00;2;72.8;30.4;39.1
2023-01-02 09:00:00;14;79.1;67.4;72.2
2023-01-02 10:00:00;9;81.0;79.1;80.7
2023-01-02 11:00:00;9;81.0;79.0;80.6
2023-01-02 12:00:00;9;80.9;79.0;80.6
2023-01-02 13:00:00;8;81.0;79.3;80.7
2023-01-02 14:00:00;5;80.9;79.7;80.6
2023-01-02 15:00:00;2;74.6;66.6;60.6
2023-01-02 16:00:00;2;73.3;34.2;41.0
2023-01-02 17:00:00;2;73.0;33.6;40.3
2023-01-02 18:00:00;2;73.0;33.1;40.2
2023-01-02 19:00:00;3;73.2;33.7;40.9
2023-01-02 20:00:00;3;74.5;35.6;43.0
2023-01-02 21:00:00;3;74.5;36.2;43.5
2023-01-02 22:00:00;3;74.9;37.0;44.3
2023-01-02 23:00:00;1;55.3;32.5;42.3
2023-01-03 00:00:00;2;68.3;28.7;36.1
2023-01-03 01:00:00;1;69.2;28.7;35.9
2023-01-03 02:00:00;2;67.0;28.1;40.6
2023-01-03 03:00:00;2;69.0;28.5;36.5
2023-01-03 04:00:00;2;69.8;28.5;36.0
2023-01-03 05:00:00;2;70.1;29.0;36.2
2023-01-03 06:00:00;2;69.7;29.1;36.9
2023-01-03 07:00:00;2;70.1;29.2;36.4
2023-01-03 08:00:00;2;70.4;29.3;36.8
2023-01-03 09:00:00;2;70.7;29.5;36.7
2023-01-03 10:00:00;2;70.0;29.5;37.2
2023-01-03 11:00:00;2;70.2;29.3;36.3
2023-01-03 12:00:00;2;70.5;29.3;36.8
2023-01-03 13:00:00;2;70.1;29.4;36.9
2023-01-03 14:00:00;2;70.2;29.2;36.8
2023-01-03 15:00:00;5;76.4;38.8;47.1
2023-01-03 16:00:00;4;76.0;40.0;47.1
2023-01-03 17:00:00;4;76.0;40.1;47.3
2023-01-03 18:00:00;4;76.1;41.0;47.7
2023-01-03 19:00:00;4;76.5;41.9;48.6
2023-01-03 20:00:00;5;77.0;42.6;49.5
2023-01-03 21:00:00;5;77.0;43.1;50.2
2023-01-03 22:00:00;15;79.7;67.6;72.6
2023-01-03 23:00:00;9;80.6;78.8;80.3
2023-01-04 00:00:00;9;80.5;78.6;80.2
2023-01-04 01:00:00;9;80.5;78.8;80.3
2023-01-04 02:00:00;9;80.8;79.0;80.5
2023-01-04 03:00:00;9;80.6;78.7;80.2
2023-01-04 04:00:00;9;80.5;78.8;80.2
2023-01-04 05:00:00;9;80.8;79.0;80.5
2023-01-04 06:00:00;9;80.7;78.8;80.4
2023-01-04 07:00:00;9;80.7;78.9;80.4
2023-01-04 08:00:00;9;80.8;78.9;80.4
2023-01-04 09:00:00;9;80.8;78.9;80.5
2023-01-04 10:00:00;9;80.9;78.9;80.5
2023-01-04 11:00:00;8;80.8;79.1;80.5
2023-01-04 12:00:00;8;80.9;79.2;80.5
2023-01-04 13:00:00;8;80.9;79.0;80.5
2023-01-04 14:00:00;8;80.8;79.1;80.4
2023-01-04 15:00:00;11;80.5;78.3;80.2
2023-01-04 16:00:00;10;80.6;78.6;80.4
2023-01-04 17:00:00;10;80.7;78.5;80.3
2023-01-04 18:00:00;10;80.5;78.3;80.2
2023-01-04 19:00:00;10;80.8;78.7;80.4
2023-01-04 20:00:00;10;80.5;78.4;80.3
2023-01-04 21:00:00;10;80.6;78.5;80.3
2023-01-04 22:00:00;10;80.6;78.4;80.3
2023-01-04 23:00:00;7;80.7;79.2;80.3
2023-01-05 00:00:00;8;80.7;78.9;80.4
2023-01-05 01:00:00;8;80.4;78.9;80.2
2023-01-05 02:00:00;8;80.6;78.9;80.3
2023-01-05 03:00:00;8;80.6;79.1;80.4
2023-01-05 04:00:00;8;80.5;78.8;80.1
2023-01-05 05:00:00;8;80.8;79.1;80.4
2023-01-05 06:00:00;8;80.9;79.1;80.5
2023-01-05 07:00:00;8;80.6;78.8;80.2
2023-01-05 08:00:00;8;80.6;79.1;80.3
2023-01-05 09:00:00;8;80.9;79.1;80.5
2023-01-05 10:00:00;8;80.9;79.1;80.5
2023-01-05 11:00:00;8;80.9;79.3;80.5
2023-01-05 12:00:00;8;80.9;79.2;80.5
2023-01-05 13:00:00;7;80.7;79.2;80.4
2023-01-05 14:00:00;6;80.7;79.5;80.3
2023-01-05 15:00:00;5;80.5;79.3;80.2
2023-01-05 16:00:00;2;75.3;53.2;52.7
2023-01-05 17:00:00;3;75.0;37.2;44.3
2023-01-05 18:00:00;4;76.0;39.2;46.2
2023-01-05 19:00:00;4;76.0;40.0;47.0
2023-01-05 20:00:00;4;76.1;40.9;47.9
2023-01-05 21:00:00;4;76.8;41.9;48.7
2023-01-05 22:00:00;4;77.0;42.1;49.1
2023-01-05 23:00:00;1;58.7;36.2;44.2
2023-01-06 00:00:00;2;72.2;32.3;39.3
2023-01-06 01:00:00;2;72.6;32.2;39.7
2023-01-06 02:00:00;11;75.8;46.6;54.4
2023-01-06 03:00:00;10;81.0;78.9;80.7
2023-01-06 04:00:00;9;80.7;78.7;80.4
2023-01-06 05:00:00;9;81.0;79.0;80.8
2023-01-06 06:00:00;9;80.9;79.1;80.7
2023-01-06 07:00:00;10;81.0;79.0;80.7
2023-01-06 08:00:00;9;81.1;79.2;80.9
2023-01-06 09:00:00;9;81.1;79.3;81.0
2023-01-06 10:00:00;9;81.0;79.2;80.9
2023-01-06 11:00:00;9;81.1;79.5;81.0
2023-01-06 12:00:00;8;81.2;79.6;81.1
2023-01-06 13:00:00;8;81.1;79.7;81.0
2023-01-06 14:00:00;8;81.1;79.6;81.0
2023-01-06 15:00:00;7;81.0;79.5;80.9
2023-01-06 16:00:00;4;77.1;57.3;57.5
2023-01-06 17:00:00;5;80.1;79.0;76.8
2023-01-06 18:00:00;5;81.0;80.0;80.8
2023-01-06 19:00:00;5;81.0;79.7;80.6
2023-01-06 20:00:00;5;81.0;79.9;80.8
2023-01-06 21:00:00;6;81.0;79.9;80.7
2023-01-06 22:00:00;7;81.0;79.6;80.8
2023-01-06 23:00:00;5;81.1;79.9;80.7
