Site;SS20 Av. Reller 1 (ID 3220);SS20 Av. Reller 1 (ID 3220);SS20 Av. Reller 1 (ID 3220);SS20 Av. Reller 1 (ID 3220)
Object;Compteur d'énergie sous-station;Compteur d'énergie sous-station;Compteur d'énergie sous-station;Régulation primaire (échangeur 1)
Time Stamp;Puissance [kW];Température depart [°C];Température retour [°C];Temp depart secondaire [°C]
2023-01-01 00:00:00;25;79.0;37.0;55.8
2023-01-01 01:00:00;30;79.1;36.6;55.9
2023-01-01 02:00:00;31;79.3;36.6;55.3
2023-01-01 03:00:00;34;79.4;36.6;56.0
2023-01-01 04:00:00;32;79.4;37.0;56.3
2023-01-01 05:00:00;37;79.2;43.4;60.9
2023-01-01 06:00:00;26;79.6;37.1;56.1
2023-01-01 07:00:00;64;79.7;42.2;57.9
2023-01-01 08:00:00;46;80.0;45.6;61.2
2023-01-01 09:00:00;46;80.0;42.1;58.0
2023-01-01 10:00:00;46;80.0;41.7;58.0
2023-01-01 11:00:00;43;79.3;46.9;61.8
2023-01-01 12:00:00;37;80.0;39.5;55.0
2023-01-01 13:00:00;31;79.7;38.4;54.2
2023-01-01 14:00:00;37;79.4;45.1;59.3
2023-01-01 15:00:00;37;79.9;37.9;53.4
2023-01-01 16:00:00;34;79.5;38.0;53.5
2023-01-01 17:00:00;42;79.3;44.5;59.5
2023-01-01 18:00:00;41;79.6;39.0;54.5
2023-01-01 19:00:00;43;79.7;39.4;55.1
2023-01-01 20:00:00;50;79.4;44.9;60.6
2023-01-01 21:00:00;39;79.4;40.5;55.5
2023-01-01 22:00:00;43;79.9;40.9;56.5
2023-01-01 23:00:00;28;79.3;39.6;56.7
2023-01-02 00:00:00;36;79.1;44.0;61.1
2023-01-02 01:00:00;33;79.3;37.0;56.2
2023-01-02 02:00:00;31;79.6;37.0;55.9
2023-01-02 03:00:00;29;79.1;36.8;57.2
2023-01-02 04:00:00;30;79.5;37.0;55.6
2023-01-02 05:00:00;40;79.5;43.2;61.0
2023-01-02 06:00:00;38;79.9;37.1;57.0
2023-01-02 07:00:00;61;79.9;41.3;56.8
2023-01-02 08:00:00;51;80.0;45.6;61.1
2023-01-02 09:00:00;51;80.0;41.2;56.9
2023-01-02 10:00:00;47;80.0;40.7;56.2
2023-01-02 11:00:00;50;80.1;44.3;59.9
2023-01-02 12:00:00;46;80.0;39.0;54.7
2023-01-02 13:00:00;37;79.9;38.5;54.3
2023-01-02 14:00:00;40;79.8;43.5;58.8
2023-01-02 15:00:00;32;79.7;35.7;51.1
2023-01-02 16:00:00;32;79.5;35.7;51.0
2023-01-02 17:00:00;42;79.0;42.9;57.9
2023-01-02 18:00:00;38;79.3;35.8;51.3
2023-01-02 19:00:00;44;79.2;36.6;52.8
2023-01-02 20:00:00;48;79.1;43.4;59.2
2023-01-02 21:00:00;40;79.4;37.9;53.6
2023-01-02 22:00:00;38;78.9;38.1;53.5
2023-01-02 23:00:00;29;79.1;44.1;59.3
2023-01-03 00:00:00;23;79.2;35.9;54.3
2023-01-03 01:00:00;29;79.1;35.2;55.0
2023-01-03 02:00:00;28;78.4;35.3;54.1
2023-01-03 03:00:00;33;78.9;35.4;54.6
2023-01-03 04:00:00;27;79.0;35.4;54.9
2023-01-03 05:00:00;34;78.5;42.9;60.5
2023-01-03 06:00:00;33;79.2;35.3;54.8
2023-01-03 07:00:00;58;79.5;40.1;55.9
2023-01-03 08:00:00;47;79.4;44.8;59.9
2023-01-03 09:00:00;47;79.5;39.6;54.8
2023-01-03 10:00:00;55;79.8;40.2;56.4
2023-01-03 11:00:00;48;79.5;44.0;59.5
2023-01-03 12:00:00;47;79.6;39.7;55.7
2023-01-03 13:00:00;56;79.8;43.7;60.1
2023-01-03 14:00:00;42;79.5;40.7;55.5
2023-01-03 15:00:00;43;79.6;39.7;55.1
2023-01-03 16:00:00;52;79.6;44.6;60.7
2023-01-03 17:00:00;48;79.5;40.0;55.4
2023-01-03 18:00:00;50;79.5;40.4;55.7
2023-01-03 19:00:00;53;79.4;45.5;60.9
2023-01-03 20:00:00;55;79.9;41.4;57.4
2023-01-03 21:00:00;47;79.6;41.9;57.9
2023-01-03 22:00:00;54;79.8;46.5;62.1
2023-01-03 23:00:00;26;79.3;40.3;57.4
2023-01-04 00:00:00;34;79.4;38.1;57.4
2023-01-04 01:00:00;33;79.2;37.6;57.8
2023-01-04 02:00:00;33;79.3;37.4;56.1
2023-01-04 03:00:00;31;79.5;37.3;56.5
2023-01-04 04:00:00;41;79.1;43.4;60.6
2023-01-04 05:00:00;42;79.7;38.0;57.9
2023-01-04 06:00:00;49;79.8;43.9;62.8
2023-01-04 07:00:00;63;79.8;43.9;58.9
2023-01-04 08:00:00;53;80.0;42.5;57.8
2023-01-04 09:00:00;59;80.0;47.0;63.0
2023-01-04 10:00:00;53;80.0;42.0;57.8
2023-01-04 11:00:00;48;80.0;41.2;56.6
2023-01-04 12:00:00;50;80.0;45.8;61.3
2023-01-04 13:00:00;47;79.9;40.0;55.8
2023-01-04 14:00:00;47;80.0;40.0;55.3
2023-01-04 15:00:00;55;79.8;45.1;60.3
2023-01-04 16:00:00;47;79.8;40.2;55.6
2023-01-04 17:00:00;59;80.0;44.7;60.7
2023-01-04 18:00:00;44;79.6;41.7;56.9
2023-01-04 19:00:00;49;79.9;40.8;56.6
2023-01-04 20:00:00;53;79.9;45.8;61.6
2023-01-04 21:00:00;44;79.6;40.9;56.6
2023-01-04 22:00:00;45;79.8;40.9;56.5
2023-01-04 23:00:00;31;79.6;45.8;62.5
2023-01-05 00:00:00;28;79.4;37.4;56.8
2023-01-05 01:00:00;34;79.4;37.4;56.8
2023-01-05 02:00:00;31;79.3;37.3;56.2
2023-01-05 03:00:00;32;79.3;37.2;56.5
2023-01-05 04:00:00;30;79.4;37.3;56.5
2023-01-05 05:00:00;43;79.2;43.5;62.1
2023-01-05 06:00:00;38;79.8;37.3;57.0
2023-01-05 07:00:00;66;79.7;43.0;58.7
2023-01-05 08:00:00;50;79.8;44.6;59.5
2023-01-05 09:00:00;49;79.8;41.3;56.8
2023-01-05 10:00:00;57;80.0;42.6;59.1
2023-01-05 11:00:00;45;79.9;43.7;59.0
2023-01-05 12:00:00;46;80.0;40.6;56.5
2023-01-05 13:00:00;54;79.7;45.6;61.2
2023-01-05 14:00:00;32;79.6;39.3;54.4
2023-01-05 15:00:00;44;79.7;38.8;54.6
2023-01-05 16:00:00;50;79.4;44.9;60.7
2023-01-05 17:00:00;47;79.6;39.5;55.5
2023-01-05 18:00:00;57;79.7;45.4;61.2
2023-01-05 19:00:00;47;79.6;41.1;56.3
2023-01-05 20:00:00;51;79.8;41.7;57.4
2023-01-05 21:00:00;50;79.7;47.4;63.0
2023-01-05 22:00:00;48;79.9;42.3;58.6
2023-01-05 23:00:00;33;79.1;41.3;58.7
2023-01-06 00:00:00;36;79.5;39.2;59.1
2023-01-06 01:00:00;43;79.8;39.9;59.4
2023-01-06 02:00:00;41;79.6;44.2;63.1
2023-01-06 03:00:00;44;80.0;40.5;59.7
2023-01-06 04:00:00;42;79.9;40.8;60.6
2023-01-06 05:00:00;48;80.0;44.3;63.3
2023-01-06 06:00:00;48;80.1;42.1;60.8
2023-01-06 07:00:00;74;80.2;47.1;62.1
2023-01-06 08:00:00;59;80.2;47.8;62.8
2023-01-06 09:00:00;58;80.5;45.3;61.0
2023-01-06 10:00:00;63;80.3;44.6;60.4
2023-01-06 11:00:00;63;80.5;45.9;62.5
2023-01-06 12:00:00;62;80.6;42.7;58.8
2023-01-06 13:00:00;70;80.6;44.1;61.6
2023-01-06 14:00:00;56;80.5;43.1;59.1
2023-01-06 15:00:00;58;80.2;40.9;57.2
2023-01-06 16:00:00;70;80.3;45.1;61.4
2023-01-06 17:00:00;58;80.2;41.5;57.2
2023-01-06 18:00:00;62;80.2;41.8;58.2
2023-01-06 19:00:00;66;80.3;46.2;62.6
2023-01-06 20:00:00;61;80.0;41.6;58.2
2023-01-06 21:00:00;57;80.1;41.7;58.1
2023-01-06 22:00:00;60;80.0;46.3;62.4
2023-01-06 23:00:00;32;79.8;40.1;58.0
