Site;SS21 Rue du Clos 12 (ID 3221);SS21 Rue du Clos 12 (ID 3221);SS21 Rue du Clos 12 (ID 3221);SS21 Rue du Clos 12 (ID 3221)
Object;Compteur d'énergie sous-station;Compteur d'énergie sous-station;Compteur d'énergie sous-station;Régulation primaire (échangeur 1)
Time Stamp;Puissance [kW];Température depart [°C];Température retour [°C];Temp depart secondaire [°C]
2023-01-01 00:00:00;0;64.0;68.0;54.8
2023-01-01 01:00:00;24;76.9;48.1;49.7
2023-01-01 02:00:00;27;78.7;46.7;49.7
2023-01-01 03:00:00;28;78.6;46.7;49.9
2023-01-01 04:00:00;31;78.7;47.1;50.8
2023-01-01 05:00:00;30;78.7;47.4;50.9
2023-01-01 06:00:00;31;78.9;47.4;51.1
2023-01-01 07:00:00;64;79.1;50.8;57.6
2023-01-01 08:00:00;48;79.3;54.9;60.1
2023-01-01 09:00:00;48;79.4;54.8;60.0
2023-01-01 10:00:00;43;79.1;53.9;58.6
2023-01-01 11:00:00;34;79.3;52.6;56.3
2023-01-01 12:00:00;3;63.3;47.2;50.2
2023-01-01 13:00:00;0;51.6;38.8;47.0
2023-01-01 14:00:00;0;48.4;34.0;43.5
2023-01-01 15:00:00;0;45.9;31.0;40.7
2023-01-01 16:00:00;0;43.9;28.8;38.5
2023-01-01 17:00:00;0;42.3;26.9;36.7
2023-01-01 18:00:00;79;71.0;40.2;50.0
2023-01-01 19:00:00;45;79.1;50.1;55.1
2023-01-01 20:00:00;45;79.1;51.1;56.0
2023-01-01 21:00:00;47;79.0;52.5;57.6
2023-01-01 22:00:00;49;79.3;53.5;58.8
2023-01-01 23:00:00;19;74.5;51.6;53.7
2023-01-02 00:00:00;31;75.2;56.4;56.9
2023-01-02 01:00:00;28;78.6;46.7;49.9
2023-01-02 02:00:00;28;78.8;46.6;49.8
2023-01-02 03:00:00;25;78.7;47.0;49.9
2023-01-02 04:00:00;27;78.6;46.7;49.9
2023-01-02 05:00:00;27;78.9;46.8;49.8
2023-01-02 06:00:00;29;79.0;46.6;49.8
2023-01-02 07:00:00;56;79.3;48.9;54.9
2023-01-02 08:00:00;46;79.6;52.5;57.4
2023-01-02 09:00:00;45;79.4;53.2;58.0
2023-01-02 10:00:00;37;79.3;53.2;57.2
2023-01-02 11:00:00;29;79.1;48.3;51.7
2023-01-02 12:00:00;28;79.1;47.8;51.1
2023-01-02 13:00:00;3;63.0;45.9;48.5
2023-01-02 14:00:00;0;50.1;37.8;45.3
2023-01-02 15:00:00;0;46.9;33.3;42.0
2023-01-02 16:00:00;5;45.2;30.6;39.6
2023-01-02 17:00:00;62;78.8;44.3;51.0
2023-01-02 18:00:00;34;79.0;47.6;51.5
2023-01-02 19:00:00;36;78.6;48.3;52.3
2023-01-02 20:00:00;38;78.9;49.2;53.4
2023-01-02 21:00:00;41;78.8;49.8;54.2
2023-01-02 22:00:00;41;78.6;50.7;55.2
2023-01-02 23:00:00;16;74.2;50.0;51.7
2023-01-03 00:00:00;33;75.7;55.9;56.3
2023-01-03 01:00:00;23;78.1;47.0;49.7
2023-01-03 02:00:00;30;78.2;46.5;49.8
2023-01-03 03:00:00;28;78.3;46.6;49.9
2023-01-03 04:00:00;28;78.4;46.6;49.8
2023-01-03 05:00:00;28;78.3;46.7;49.8
2023-01-03 06:00:00;29;78.2;46.4;49.9
2023-01-03 07:00:00;60;79.0;49.2;55.6
2023-01-03 08:00:00;45;78.9;53.1;58.0
2023-01-03 09:00:00;46;79.0;53.3;58.0
2023-01-03 10:00:00;45;79.1;53.2;58.1
2023-01-03 11:00:00;44;79.0;53.3;58.1
2023-01-03 12:00:00;49;79.0;52.8;58.0
2023-01-03 13:00:00;45;79.0;53.2;58.1
2023-01-03 14:00:00;49;79.0;53.3;58.6
2023-01-03 15:00:00;46;79.0;54.1;59.0
2023-01-03 16:00:00;46;79.0;54.1;58.9
2023-01-03 17:00:00;46;79.0;54.0;59.0
2023-01-03 18:00:00;49;79.0;54.2;59.4
2023-01-03 19:00:00;50;79.0;54.6;60.0
2023-01-03 20:00:00;51;79.0;54.8;60.1
2023-01-03 21:00:00;52;79.1;55.2;60.7
2023-01-03 22:00:00;50;79.0;55.4;60.8
2023-01-03 23:00:00;25;76.1;63.3;64.3
2023-01-04 00:00:00;33;78.9;48.0;51.7
2023-01-04 01:00:00;34;78.8;47.9;51.8
2023-01-04 02:00:00;34;78.8;47.9;51.8
2023-01-04 03:00:00;33;78.9;47.8;51.7
2023-01-04 04:00:00;34;78.8;47.8;51.8
2023-01-04 05:00:00;38;79.0;48.4;52.7
2023-01-04 06:00:00;38;79.0;48.9;53.2
2023-01-04 07:00:00;69;79.2;52.4;59.5
2023-01-04 08:00:00;54;79.4;56.2;61.9
2023-01-04 09:00:00;52;79.5;56.3;61.8
2023-01-04 10:00:00;31;79.0;53.2;56.6
2023-01-04 11:00:00;30;79.0;50.1;53.5
2023-01-04 12:00:00;42;79.2;48.5;53.3
2023-01-04 13:00:00;49;79.1;49.7;55.1
2023-01-04 14:00:00;45;79.2;51.7;56.5
2023-01-04 15:00:00;47;79.1;52.7;57.8
2023-01-04 16:00:00;45;79.0;53.1;58.0
2023-01-04 17:00:00;45;79.0;53.1;58.1
2023-01-04 18:00:00;50;79.0;53.6;59.0
2023-01-04 19:00:00;47;79.0;54.0;59.0
2023-01-04 20:00:00;47;79.2;53.8;58.9
2023-01-04 21:00:00;50;79.3;57.8;62.7
2023-01-04 22:00:00;47;79.0;53.9;59.0
2023-01-04 23:00:00;21;73.3;51.8;53.9
2023-01-05 00:00:00;32;78.9;47.2;50.9
2023-01-05 01:00:00;31;79.0;47.4;50.9
2023-01-05 02:00:00;34;78.4;47.3;51.1
2023-01-05 03:00:00;33;78.9;47.9;51.8
2023-01-05 04:00:00;34;79.1;48.0;51.8
2023-01-05 05:00:00;34;78.6;47.7;51.8
2023-01-05 06:00:00;34;78.9;47.8;51.8
2023-01-05 07:00:00;66;79.1;50.5;57.6
2023-01-05 08:00:00;51;79.1;54.5;60.0
2023-01-05 09:00:00;50;79.2;54.7;60.0
2023-01-05 10:00:00;49;79.1;54.6;60.0
2023-01-05 11:00:00;46;79.2;54.7;59.7
2023-01-05 12:00:00;46;79.4;54.0;59.0
2023-01-05 13:00:00;35;79.1;53.0;56.9
2023-01-05 14:00:00;25;78.6;49.5;52.6
2023-01-05 15:00:00;34;79.0;47.8;51.7
2023-01-05 16:00:00;27;78.9;48.8;51.8
2023-01-05 17:00:00;48;79.0;47.9;53.2
2023-01-05 18:00:00;47;79.0;51.7;56.7
2023-01-05 19:00:00;48;79.0;53.6;58.7
2023-01-05 20:00:00;57;79.1;57.9;63.6
2023-01-05 21:00:00;49;79.0;55.5;60.7
2023-01-05 22:00:00;51;79.1;55.7;61.1
2023-01-05 23:00:00;24;73.4;53.7;56.4
2023-01-06 00:00:00;38;79.0;49.4;53.6
2023-01-06 01:00:00;39;79.0;50.3;54.6
2023-01-06 02:00:00;42;79.0;50.3;54.9
2023-01-06 03:00:00;40;79.2;51.0;55.5
2023-01-06 04:00:00;44;79.4;51.3;56.2
2023-01-06 05:00:00;41;79.0;51.3;55.7
2023-01-06 06:00:00;43;79.5;50.7;55.5
2023-01-06 07:00:00;68;79.7;53.6;60.7
2023-01-06 08:00:00;55;79.9;56.9;62.7
2023-01-06 09:00:00;56;80.0;56.7;62.7
2023-01-06 10:00:00;39;79.8;56.3;60.5
2023-01-06 11:00:00;29;79.4;51.8;55.1
2023-01-06 12:00:00;37;79.6;51.5;55.5
2023-01-06 13:00:00;30;79.4;50.3;53.5
2023-01-06 14:00:00;35;79.6;49.5;53.6
2023-01-06 15:00:00;36;79.7;49.0;53.0
2023-01-06 16:00:00;42;79.7;49.0;53.7
2023-01-06 17:00:00;44;79.5;51.0;55.9
2023-01-06 18:00:00;50;79.8;52.8;58.2
2023-01-06 19:00:00;53;79.5;56.4;61.7
2023-01-06 20:00:00;42;79.4;54.9;59.4
2023-01-06 21:00:00;49;79.7;54.3;59.6
2023-01-06 22:00:00;50;79.5;54.6;60.0
2023-01-06 23:00:00;22;75.5;52.5;54.8
