Site;SS22 Gare CFF Vevey - Aile Ouest (ID 3222);SS22 Gare CFF Vevey - Aile Ouest (ID 3222);SS22 Gare CFF Vevey - Aile Ouest (ID 3222);SS22 Gare CFF Vevey - Aile Ouest (ID 3222)
Object;Compteur d'énergie sous-station;Compteur d'énergie sous-station;Compteur d'énergie sous-station;Régulation primaire (échangeur 1)
Time Stamp;Puissance [kW];Température depart [°C];Température retour [°C];Temp depart secondaire [°C]
2023-01-01 00:00:00;2;65.0;35.0;38.0
2023-01-01 01:00:00;1;67.9;34.2;39.9
2023-01-01 02:00:00;1;67.5;34.0;40.0
2023-01-01 03:00:00;0;66.0;34.0;40.5
2023-01-01 04:00:00;1;66.4;34.0;40.2
2023-01-01 05:00:00;0;67.0;34.0;40.4
2023-01-01 06:00:00;1;67.2;34.0;40.4
2023-01-01 07:00:00;39;78.7;41.8;61.6
2023-01-01 08:00:00;37;79.0;36.9;50.3
2023-01-01 09:00:00;23;78.9;37.6;47.0
2023-01-01 10:00:00;23;79.0;37.8;47.0
2023-01-01 11:00:00;22;79.0;38.0;47.0
2023-01-01 12:00:00;19;78.9;37.8;46.7
2023-01-01 13:00:00;25;78.8;39.6;52.1
2023-01-01 14:00:00;14;78.1;38.2;46.4
2023-01-01 15:00:00;26;78.6;42.4;56.3
2023-01-01 16:00:00;17;78.0;36.6;45.2
2023-01-01 17:00:00;23;78.6;41.2;53.5
2023-01-01 18:00:00;18;78.0;36.7;45.4
2023-01-01 19:00:00;17;78.0;37.0;45.6
2023-01-01 20:00:00;19;78.1;37.0;45.8
2023-01-01 21:00:00;17;78.0;37.0;46.0
2023-01-01 22:00:00;8;77.3;36.0;43.9
2023-01-01 23:00:00;0;71.1;34.7;42.5
2023-01-02 00:00:00;1;70.6;34.0;40.3
2023-01-02 01:00:00;1;69.1;34.0;39.9
2023-01-02 02:00:00;1;67.5;34.0;39.9
2023-01-02 03:00:00;0;66.9;34.0;41.6
2023-01-02 04:00:00;1;67.2;34.0;41.0
2023-01-02 05:00:00;1;67.6;34.0;41.2
2023-01-02 06:00:00;7;75.0;32.5;44.2
2023-01-02 07:00:00;47;78.7;32.3;46.7
2023-01-02 08:00:00;23;79.0;37.3;46.8
2023-01-02 09:00:00;22;78.9;37.5;47.0
2023-01-02 10:00:00;23;78.9;40.1;51.5
2023-01-02 11:00:00;21;79.0;37.2;46.7
2023-01-02 12:00:00;23;78.9;40.3;52.2
2023-01-02 13:00:00;18;78.3;37.0;46.1
2023-01-02 14:00:00;20;78.4;40.1;51.4
2023-01-02 15:00:00;27;78.4;39.4;52.3
2023-01-02 16:00:00;15;78.3;37.6;46.4
2023-01-02 17:00:00;17;78.0;36.0;44.8
2023-01-02 18:00:00;23;78.4;39.7;51.1
2023-01-02 19:00:00;17;78.0;36.0;44.7
2023-01-02 20:00:00;20;78.1;38.7;49.6
2023-01-02 21:00:00;19;78.0;36.0;45.1
2023-01-02 22:00:00;27;78.1;42.0;55.3
2023-01-02 23:00:00;0;69.6;35.5;51.8
2023-01-03 00:00:00;1;69.2;34.1;40.6
2023-01-03 01:00:00;21;78.1;59.9;73.7
2023-01-03 02:00:00;1;72.1;60.6;69.0
2023-01-03 03:00:00;0;61.4;51.6;58.2
2023-01-03 04:00:00;0;53.0;46.0;46.1
2023-01-03 05:00:00;0;55.2;37.4;40.3
2023-01-03 06:00:00;6;73.5;32.4;43.6
2023-01-03 07:00:00;44;78.6;32.1;46.0
2023-01-03 08:00:00;22;78.0;37.0;46.2
2023-01-03 09:00:00;21;78.0;37.0;46.1
2023-01-03 10:00:00;20;78.1;37.0;46.2
2023-01-03 11:00:00;24;78.1;37.1;47.2
2023-01-03 12:00:00;20;78.2;39.1;49.5
2023-01-03 13:00:00;25;78.5;40.8;53.2
2023-01-03 14:00:00;28;78.3;39.1;51.7
2023-01-03 15:00:00;17;78.2;39.1;48.6
2023-01-03 16:00:00;23;78.3;40.0;52.4
2023-01-03 17:00:00;28;78.6;41.0;55.1
2023-01-03 18:00:00;18;78.1;38.0;47.2
2023-01-03 19:00:00;20;78.0;37.0;46.5
2023-01-03 20:00:00;27;78.5;41.6;55.2
2023-01-03 21:00:00;28;78.8;40.9;55.3
2023-01-03 22:00:00;21;78.4;40.0;51.1
2023-01-03 23:00:00;0;62.8;42.1;51.5
2023-01-04 00:00:00;0;54.8;38.1;40.2
2023-01-04 01:00:00;1;67.3;34.7;40.5
2023-01-04 02:00:00;1;67.5;34.0;40.7
2023-01-04 03:00:00;1;66.1;34.0;40.5
2023-01-04 04:00:00;1;66.5;34.0;40.5
2023-01-04 05:00:00;1;67.2;34.0;40.3
2023-01-04 06:00:00;7;75.5;33.0;45.2
2023-01-04 07:00:00;62;79.1;39.2;61.6
2023-01-04 08:00:00;23;78.7;40.7;51.4
2023-01-04 09:00:00;23;78.9;38.0;47.7
2023-01-04 10:00:00;22;79.0;38.0;47.7
2023-01-04 11:00:00;27;79.0;40.0;52.2
2023-01-04 12:00:00;18;78.8;38.1;47.0
2023-01-04 13:00:00;27;78.7;40.7;53.1
2023-01-04 14:00:00;27;78.7;39.1;51.8
2023-01-04 15:00:00;21;78.7;41.2;52.5
2023-01-04 16:00:00;24;78.6;40.7;52.9
2023-01-04 17:00:00;20;78.1;37.2;46.8
2023-01-04 18:00:00;20;78.4;37.5;46.8
2023-01-04 19:00:00;25;78.5;40.3;52.2
2023-01-04 20:00:00;21;78.5;37.7;46.9
2023-01-04 21:00:00;26;78.9;40.6;54.4
2023-01-04 22:00:00;23;78.6;43.0;55.8
2023-01-04 23:00:00;0;70.1;35.6;45.9
2023-01-05 00:00:00;0;70.7;34.0;40.8
2023-01-05 01:00:00;0;69.1;34.0;40.8
2023-01-05 02:00:00;0;67.5;34.0;41.3
2023-01-05 03:00:00;1;66.2;34.0;40.0
2023-01-05 04:00:00;1;66.5;34.0;41.1
2023-01-05 05:00:00;1;66.8;34.0;40.7
2023-01-05 06:00:00;7;74.8;33.0;44.8
2023-01-05 07:00:00;63;79.1;39.0;61.7
2023-01-05 08:00:00;23;78.5;41.1;51.8
2023-01-05 09:00:00;23;78.6;38.0;47.4
2023-01-05 10:00:00;21;78.9;38.0;47.3
2023-01-05 11:00:00;23;79.0;38.0;47.7
2023-01-05 12:00:00;23;78.9;39.7;50.9
2023-01-05 13:00:00;25;78.9;39.8;51.0
2023-01-05 14:00:00;22;78.7;41.4;53.8
2023-01-05 15:00:00;22;78.5;40.5;52.1
2023-01-05 16:00:00;24;78.2;38.6;50.6
2023-01-05 17:00:00;18;78.5;39.7;49.5
2023-01-05 18:00:00;20;78.0;37.2;46.6
2023-01-05 19:00:00;22;78.1;38.2;48.4
2023-01-05 20:00:00;19;78.2;39.6;49.2
2023-01-05 21:00:00;28;78.6;40.5;54.3
2023-01-05 22:00:00;22;78.6;42.6;55.0
2023-01-05 23:00:00;0;70.7;35.7;44.8
2023-01-06 00:00:00;1;71.4;34.8;41.1
2023-01-06 01:00:00;1;69.7;34.8;40.1
2023-01-06 02:00:00;1;68.0;34.8;41.2
2023-01-06 03:00:00;1;67.8;34.9;40.1
2023-01-06 04:00:00;1;68.1;35.0;40.8
2023-01-06 05:00:00;1;69.0;35.0;41.4
2023-01-06 06:00:00;8;76.5;33.9;46.2
2023-01-06 07:00:00;68;79.6;39.1;61.8
2023-01-06 08:00:00;25;79.1;42.2;53.7
2023-01-06 09:00:00;25;79.0;39.0;49.1
2023-01-06 10:00:00;25;79.0;39.0;49.0
2023-01-06 11:00:00;29;79.2;40.6;52.8
2023-01-06 12:00:00;21;79.0;39.0;48.6
2023-01-06 13:00:00;22;79.0;39.1;49.7
2023-01-06 14:00:00;23;79.2;40.4;52.2
2023-01-06 15:00:00;26;79.4;42.7;56.1
2023-01-06 16:00:00;23;79.1;40.0;51.8
2023-01-06 17:00:00;21;79.0;38.0;47.7
2023-01-06 18:00:00;29;79.2;41.6;55.4
2023-01-06 19:00:00;20;79.0;38.2;47.6
2023-01-06 20:00:00;24;79.0;40.2;52.2
2023-01-06 21:00:00;27;79.0;39.0;52.0
2023-01-06 22:00:00;22;79.2;42.6;54.8
