Site;SS25 Rue des Bosquets 14-16 (ID 3225);SS25 Rue des Bosquets 14-16 (ID 3225);SS25 Rue des Bosquets 14-16 (ID 3225);SS25 Rue des Bosquets 14-16 (ID 3225)
Object;Compteur d'énergie sous-station;Compteur d'énergie sous-station;Compteur d'énergie sous-station;Régulation primaire (échangeur 1)
Time Stamp;Puissance [kW];Température depart [°C];Température retour [°C];Temp depart secondaire [°C]
2023-01-01 00:00:00;0;78.0;78.0;75.7
2023-01-01 01:00:00;0;77.8;77.7;75.5
2023-01-01 02:00:00;0;78.0;77.7;75.5
2023-01-01 03:00:00;0;78.3;78.1;75.9
2023-01-01 04:00:00;0;77.9;77.8;75.7
2023-01-01 05:00:00;0;77.8;77.5;75.5
2023-01-01 06:00:00;5;78.0;58.7;62.0
2023-01-01 07:00:00;11;78.0;34.6;42.7
2023-01-01 08:00:00;9;78.3;45.5;51.3
2023-01-01 09:00:00;11;78.6;37.6;44.6
2023-01-01 10:00:00;8;78.8;47.6;53.0
2023-01-01 11:00:00;10;78.5;38.3;45.4
2023-01-01 12:00:00;8;79.3;49.0;54.5
2023-01-01 13:00:00;11;78.3;38.3;46.4
2023-01-01 14:00:00;5;78.0;61.4;65.3
2023-01-01 15:00:00;11;78.5;38.0;45.5
2023-01-01 16:00:00;8;78.0;48.6;54.1
2023-01-01 17:00:00;10;78.0;39.1;46.4
2023-01-01 18:00:00;7;78.0;49.2;54.2
2023-01-01 19:00:00;10;78.0;39.2;46.5
2023-01-01 20:00:00;9;78.9;45.8;51.8
2023-01-01 21:00:00;11;78.3;38.1;45.8
2023-01-01 22:00:00;8;77.5;48.2;53.4
2023-01-01 23:00:00;2;78.0;71.6;72.1
2023-01-02 00:00:00;0;78.0;77.8;75.6
2023-01-02 01:00:00;0;78.1;78.0;75.8
2023-01-02 02:00:00;0;78.0;77.7;75.5
2023-01-02 03:00:00;0;78.2;77.9;75.8
2023-01-02 04:00:00;0;77.9;77.8;75.5
2023-01-02 05:00:00;0;78.4;78.1;75.9
2023-01-02 06:00:00;5;78.6;59.5;62.8
2023-01-02 07:00:00;11;78.3;34.7;41.4
2023-01-02 08:00:00;9;78.8;45.9;51.7
2023-01-02 09:00:00;11;78.6;37.5;44.9
2023-01-02 10:00:00;9;78.7;44.8;50.7
2023-01-02 11:00:00;11;79.0;36.9;44.9
2023-01-02 12:00:00;9;79.2;47.6;53.2
2023-01-02 13:00:00;10;78.3;41.3;49.5
2023-01-02 14:00:00;5;78.0;62.4;65.1
2023-01-02 15:00:00;12;78.2;37.7;45.7
2023-01-02 16:00:00;8;78.2;48.5;53.8
2023-01-02 17:00:00;10;78.2;38.9;46.3
2023-01-02 18:00:00;8;77.9;49.2;54.4
2023-01-02 19:00:00;10;77.7;39.2;46.5
2023-01-02 20:00:00;8;78.7;49.8;54.8
2023-01-02 21:00:00;10;78.0;39.3;46.8
2023-01-02 22:00:00;8;78.0;49.7;54.7
2023-01-02 23:00:00;2;77.5;71.5;71.8
2023-01-03 00:00:00;0;77.6;77.1;75.2
2023-01-03 01:00:00;0;77.8;77.5;75.4
2023-01-03 02:00:00;0;77.6;77.3;75.3
2023-01-03 03:00:00;0;77.2;76.8;74.8
2023-01-03 04:00:00;0;77.8;77.1;75.2
2023-01-03 05:00:00;0;77.8;77.2;75.2
2023-01-03 06:00:00;5;78.0;58.6;61.8
2023-01-03 07:00:00;11;78.1;33.4;41.6
2023-01-03 08:00:00;9;78.0;44.3;50.2
2023-01-03 09:00:00;11;78.0;36.2;43.9
2023-01-03 10:00:00;8;78.0;47.2;52.6
2023-01-03 11:00:00;10;78.9;37.8;45.0
2023-01-03 12:00:00;9;78.5;45.6;51.4
2023-01-03 13:00:00;10;78.0;37.0;44.8
2023-01-03 14:00:00;8;78.0;47.2;52.7
2023-01-03 15:00:00;10;78.0;37.9;45.3
2023-01-03 16:00:00;10;78.1;40.9;47.2
2023-01-03 17:00:00;11;79.0;36.5;44.4
2023-01-03 18:00:00;8;78.3;46.9;52.3
2023-01-03 19:00:00;10;78.0;38.0;45.1
2023-01-03 20:00:00;8;78.0;48.0;53.2
2023-01-03 21:00:00;10;78.1;38.0;45.7
2023-01-03 22:00:00;9;78.2;45.5;51.3
2023-01-03 23:00:00;2;78.0;70.4;71.6
2023-01-04 00:00:00;0;78.0;77.9;75.6
2023-01-04 01:00:00;0;78.0;78.0;75.8
2023-01-04 02:00:00;0;78.0;77.7;75.6
2023-01-04 03:00:00;0;78.0;78.0;75.7
2023-01-04 04:00:00;0;78.1;78.0;75.8
2023-01-04 05:00:00;0;77.9;77.7;75.5
2023-01-04 06:00:00;5;78.8;58.8;62.0
2023-01-04 07:00:00;11;78.5;34.8;41.4
2023-01-04 08:00:00;9;78.5;44.6;50.5
2023-01-04 09:00:00;11;78.9;37.3;44.6
2023-01-04 10:00:00;9;79.0;44.3;50.3
2023-01-04 11:00:00;11;79.0;37.5;44.7
2023-01-04 12:00:00;9;78.8;46.1;51.9
2023-01-04 13:00:00;10;78.0;37.6;45.2
2023-01-04 14:00:00;9;78.1;43.1;49.4
2023-01-04 15:00:00;10;78.0;37.4;44.6
2023-01-04 16:00:00;8;78.0;47.3;52.7
2023-01-04 17:00:00;10;78.9;38.4;45.6
2023-01-04 18:00:00;8;78.7;47.9;53.3
2023-01-04 19:00:00;10;78.0;38.7;45.8
2023-01-04 20:00:00;8;78.1;46.9;52.5
2023-01-04 21:00:00;10;78.2;40.6;48.3
2023-01-04 22:00:00;8;78.1;48.1;53.6
2023-01-04 23:00:00;2;78.0;71.6;71.9
2023-01-05 00:00:00;0;78.0;78.0;75.7
2023-01-05 01:00:00;0;78.0;78.0;75.7
2023-01-05 02:00:00;0;78.0;77.5;75.5
2023-01-05 03:00:00;0;78.0;77.9;75.6
2023-01-05 04:00:00;0;78.1;78.0;75.7
2023-01-05 05:00:00;0;78.0;77.8;75.6
2023-01-05 06:00:00;5;78.6;59.0;62.6
2023-01-05 07:00:00;11;78.4;34.4;41.6
2023-01-05 08:00:00;10;78.1;41.1;47.5
2023-01-05 09:00:00;11;78.2;36.8;44.6
2023-01-05 10:00:00;9;79.0;46.8;52.5
2023-01-05 11:00:00;11;78.9;38.1;45.6
2023-01-05 12:00:00;9;78.7;43.9;50.3
2023-01-05 13:00:00;11;78.3;37.6;45.4
2023-01-05 14:00:00;6;78.1;56.4;60.7
2023-01-05 15:00:00;11;78.1;36.9;44.7
2023-01-05 16:00:00;8;78.6;47.1;52.6
2023-01-05 17:00:00;10;78.8;40.3;48.1
2023-01-05 18:00:00;8;78.0;47.0;52.5
2023-01-05 19:00:00;10;78.0;38.4;45.0
2023-01-05 20:00:00;10;78.0;40.4;47.1
2023-01-05 21:00:00;11;78.1;36.9;44.7
2023-01-05 22:00:00;9;78.0;46.6;52.4
2023-01-05 23:00:00;2;78.5;70.7;71.5
2023-01-06 00:00:00;0;78.0;78.0;75.7
2023-01-06 01:00:00;0;78.0;78.0;75.9
2023-01-06 02:00:00;0;78.0;78.0;75.9
2023-01-06 03:00:00;0;78.2;78.0;75.9
2023-01-06 04:00:00;5;78.5;61.4;64.1
2023-01-06 05:00:00;4;78.3;66.2;67.4
2023-01-06 06:00:00;4;78.8;65.7;67.4
2023-01-06 07:00:00;10;79.0;39.5;46.5
2023-01-06 08:00:00;10;79.0;42.7;48.9
2023-01-06 09:00:00;10;79.0;42.1;49.3
2023-01-06 10:00:00;9;79.5;44.6;50.5
2023-01-06 11:00:00;10;80.0;43.0;50.4
2023-01-06 12:00:00;10;79.9;41.8;48.5
2023-01-06 13:00:00;10;79.3;44.3;52.1
2023-01-06 14:00:00;9;79.0;44.5;50.4
2023-01-06 15:00:00;10;79.0;41.8;49.8
2023-01-06 16:00:00;9;79.0;45.0;50.9
2023-01-06 17:00:00;9;78.9;43.7;50.8
2023-01-06 18:00:00;11;79.1;40.0;46.8
2023-01-06 19:00:00;11;79.2;40.0;48.1
2023-01-06 20:00:00;10;78.9;42.1;48.8
2023-01-06 21:00:00;10;78.8;41.6;49.5
2023-01-06 22:00:00;10;78.4;44.4;50.7
2023-01-06 23:00:00;2;78.3;70.9;71.7
