Site;SS28 Rue des Tilleuls 1 (ID 3228);SS28 Rue des Tilleuls 1 (ID 3228);SS28 Rue des Tilleuls 1 (ID 3228);SS28 Rue des Tilleuls 1 (ID 3228)
Object;Compteur d'énergie sous-station;Compteur d'énergie sous-station;Compteur d'énergie sous-station;Régulation primaire (échangeur 1)
Time Stamp;Puissance [kW];Température depart [°C];Température retour [°C];Temp depart secondaire [°C]
2023-01-01 00:00:00;0;49.0;28.0;42.4
2023-01-01 01:00:00;0;47.3;27.4;41.5
2023-01-01 02:00:00;0;44.9;26.1;39.9
2023-01-01 03:00:00;0;42.8;25.5;38.4
2023-01-01 04:00:00;0;40.8;25.0;36.9
2023-01-01 05:00:00;6;61.2;40.4;51.1
2023-01-01 06:00:00;15;78.2;56.3;65.4
2023-01-01 07:00:00;14;74.1;39.0;54.7
2023-01-01 08:00:00;16;77.4;33.0;41.0
2023-01-01 09:00:00;22;78.0;42.4;53.2
2023-01-01 10:00:00;21;79.0;52.5;65.0
2023-01-01 11:00:00;19;79.0;53.4;65.0
2023-01-01 12:00:00;8;75.1;46.5;51.2
2023-01-01 13:00:00;28;77.2;36.6;51.7
2023-01-01 14:00:00;25;79.0;51.1;65.0
2023-01-01 15:00:00;20;79.0;53.3;65.0
2023-01-01 16:00:00;7;75.1;42.7;47.0
2023-01-01 17:00:00;17;75.6;33.5;43.3
2023-01-01 18:00:00;23;79.0;51.3;65.0
2023-01-01 19:00:00;21;78.9;52.4;65.1
2023-01-01 20:00:00;19;78.8;53.6;65.1
2023-01-01 21:00:00;16;78.5;55.2;65.0
2023-01-01 22:00:00;11;75.2;53.4;63.4
2023-01-01 23:00:00;0;70.1;44.6;67.2
2023-01-02 00:00:00;0;61.6;35.9;60.3
2023-01-02 01:00:00;0;56.3;32.3;55.6
2023-01-02 02:00:00;0;52.0;30.2;51.7
2023-01-02 03:00:00;0;48.4;28.7;48.3
2023-01-02 04:00:00;9;57.7;35.9;50.1
2023-01-02 05:00:00;1;64.4;41.1;56.2
2023-01-02 06:00:00;37;78.4;47.1;65.1
2023-01-02 07:00:00;18;78.6;41.9;52.4
2023-01-02 08:00:00;14;77.2;33.6;40.7
2023-01-02 09:00:00;22;78.1;43.9;55.6
2023-01-02 10:00:00;12;77.8;40.1;48.1
2023-01-02 11:00:00;17;76.6;39.2;49.8
2023-01-02 12:00:00;9;77.4;33.2;40.4
2023-01-02 13:00:00;11;75.6;31.4;38.7
2023-01-02 14:00:00;18;77.6;46.8;60.6
2023-01-02 15:00:00;13;70.3;37.8;48.0
2023-01-02 16:00:00;10;76.7;47.4;54.2
2023-01-02 17:00:00;13;77.2;39.3;48.0
2023-01-02 18:00:00;21;77.1;42.0;54.7
2023-01-02 19:00:00;16;77.1;39.0;48.9
2023-01-02 20:00:00;11;77.0;35.1;43.5
2023-01-02 21:00:00;21;77.3;48.6;59.5
2023-01-02 22:00:00;11;75.9;41.0;50.3
2023-01-02 23:00:00;0;66.5;46.3;62.2
2023-01-03 00:00:00;0;59.9;37.3;57.8
2023-01-03 01:00:00;0;55.6;33.4;54.2
2023-01-03 02:00:00;0;51.7;31.1;50.9
2023-01-03 03:00:00;6;74.0;58.8;75.2
2023-01-03 04:00:00;0;68.5;42.7;70.4
2023-01-03 05:00:00;0;62.5;36.4;64.3
2023-01-03 06:00:00;36;77.6;47.9;65.2
2023-01-03 07:00:00;17;78.1;40.8;50.8
2023-01-03 08:00:00;21;76.6;34.5;44.7
2023-01-03 09:00:00;13;78.0;44.5;52.6
2023-01-03 10:00:00;11;76.1;33.9;40.9
2023-01-03 11:00:00;11;77.4;42.4;49.6
2023-01-03 12:00:00;17;77.3;38.0;48.5
2023-01-03 13:00:00;9;75.9;30.4;37.2
2023-01-03 14:00:00;24;76.7;38.7;51.2
2023-01-03 15:00:00;19;78.7;53.7;65.0
2023-01-03 16:00:00;12;77.4;55.5;62.0
2023-01-03 17:00:00;6;75.1;29.3;35.9
2023-01-03 18:00:00;27;78.2;49.3;63.1
2023-01-03 19:00:00;24;78.9;51.0;65.0
2023-01-03 20:00:00;20;79.0;53.0;65.0
2023-01-03 21:00:00;23;78.9;51.1;65.0
2023-01-03 22:00:00;14;78.2;54.6;66.5
2023-01-03 23:00:00;0;67.9;44.5;65.5
2023-01-04 00:00:00;0;60.9;36.5;59.8
2023-01-04 01:00:00;0;56.0;32.9;55.5
2023-01-04 02:00:00;0;51.8;30.6;51.7
2023-01-04 03:00:00;0;48.3;29.3;48.4
2023-01-04 04:00:00;0;45.1;28.1;45.4
2023-01-04 05:00:00;5;47.2;31.5;45.8
2023-01-04 06:00:00;28;79.0;49.7;65.0
2023-01-04 07:00:00;18;78.5;40.0;49.5
2023-01-04 08:00:00;26;78.9;50.5;64.2
2023-01-04 09:00:00;19;79.0;53.2;65.0
2023-01-04 10:00:00;12;77.9;55.2;64.5
2023-01-04 11:00:00;4;70.3;34.5;38.4
2023-01-04 12:00:00;14;77.3;39.1;48.5
2023-01-04 13:00:00;7;75.3;29.0;35.4
2023-01-04 14:00:00;24;76.3;36.4;48.4
2023-01-04 15:00:00;19;79.0;53.6;65.1
2023-01-04 16:00:00;14;78.5;55.6;64.5
2023-01-04 17:00:00;8;74.2;32.4;37.4
2023-01-04 18:00:00;12;75.5;31.7;38.1
2023-01-04 19:00:00;23;78.6;52.8;65.0
2023-01-04 20:00:00;16;77.7;49.5;59.1
2023-01-04 21:00:00;22;78.9;52.1;65.1
2023-01-04 22:00:00;12;78.0;54.9;66.5
2023-01-04 23:00:00;0;67.5;44.2;65.0
2023-01-05 00:00:00;0;60.4;36.0;59.3
2023-01-05 01:00:00;0;55.6;32.4;55.0
2023-01-05 02:00:00;0;51.5;30.3;51.3
2023-01-05 03:00:00;0;48.0;28.7;48.0
2023-01-05 04:00:00;11;65.5;40.3;52.6
2023-01-05 05:00:00;0;59.9;38.1;54.1
2023-01-05 06:00:00;34;78.1;48.4;65.1
2023-01-05 07:00:00;18;78.5;41.4;51.0
2023-01-05 08:00:00;19;77.2;34.3;43.2
2023-01-05 09:00:00;20;78.8;48.0;59.4
2023-01-05 10:00:00;16;77.0;34.6;43.8
2023-01-05 11:00:00;9;76.7;46.2;53.5
2023-01-05 12:00:00;18;77.5;38.0;48.3
2023-01-05 13:00:00;11;76.5;31.9;38.4
2023-01-05 14:00:00;18;76.9;40.2;49.8
2023-01-05 15:00:00;12;77.7;39.2;47.6
2023-01-05 16:00:00;18;77.5;40.5;51.2
2023-01-05 17:00:00;15;77.4;39.7;49.1
2023-01-05 18:00:00;22;77.9;42.6;55.3
2023-01-05 19:00:00;19;77.6;40.0;50.7
2023-01-05 20:00:00;11;77.1;36.9;46.3
2023-01-05 21:00:00;19;77.7;42.0;52.3
2023-01-05 22:00:00;13;71.4;39.4;56.4
2023-01-05 23:00:00;0;54.0;29.8;47.2
2023-01-06 00:00:00;0;49.5;27.4;44.2
2023-01-06 01:00:00;0;46.6;26.1;41.9
2023-01-06 02:00:00;0;44.1;25.2;39.9
2023-01-06 03:00:00;13;60.5;36.0;48.5
2023-01-06 04:00:00;2;68.2;42.0;59.5
2023-01-06 05:00:00;0;57.4;33.3;54.1
2023-01-06 06:00:00;38;78.3;47.1;65.1
2023-01-06 07:00:00;17;78.8;43.0;53.2
2023-01-06 08:00:00;22;78.1;39.1;50.0
2023-01-06 09:00:00;23;79.4;48.3;61.4
2023-01-06 10:00:00;19;78.2;39.3;50.2
2023-01-06 11:00:00;13;76.9;45.1;54.1
2023-01-06 12:00:00;19;78.6;39.0;50.4
2023-01-06 13:00:00;11;76.6;32.5;38.6
2023-01-06 14:00:00;23;77.7;41.3;52.7
2023-01-06 15:00:00;14;78.6;41.5;50.6
2023-01-06 16:00:00;15;78.0;40.3;48.9
2023-01-06 17:00:00;7;75.9;30.1;36.3
2023-01-06 18:00:00;23;77.9;44.6;57.4
2023-01-06 19:00:00;19;78.5;41.2;51.7
2023-01-06 20:00:00;20;78.0;38.6;50.4
2023-01-06 21:00:00;16;78.3;39.3;49.3
2023-01-06 22:00:00;23;77.1;43.7;59.4
2023-01-06 23:00:00;1;62.2;30.0;41.3
