Site;SS30 Marronnier 3a-3b (ID 3230);SS30 Marronnier 3a-3b (ID 3230);SS30 Marronnier 3a-3b (ID 3230);SS30 Marronnier 3a-3b (ID 3230)
Object;Compteur d'énergie sous-station;Compteur d'énergie sous-station;Compteur d'énergie sous-station;Régulation primaire (échangeur 1)
Time Stamp;Puissance [kW];Température depart [°C];Température retour [°C];Temp depart secondaire [°C]
2023-01-01 00:00:00;7;75.0;28.0;34.3
2023-01-01 01:00:00;7;77.1;27.0;35.6
2023-01-01 02:00:00;8;78.0;27.0;35.7
2023-01-01 03:00:00;10;78.0;27.0;36.0
2023-01-01 04:00:00;33;77.4;48.0;51.2
2023-01-01 05:00:00;10;77.9;27.0;36.1
2023-01-01 06:00:00;34;79.3;28.4;42.0
2023-01-01 07:00:00;27;79.0;29.8;42.8
2023-01-01 08:00:00;59;79.5;40.3;54.1
2023-01-01 09:00:00;26;79.2;30.6;43.9
2023-01-01 10:00:00;24;79.1;30.1;43.1
2023-01-01 11:00:00;54;79.5;39.7;53.3
2023-01-01 12:00:00;16;79.1;33.1;41.9
2023-01-01 13:00:00;44;78.5;43.8;50.7
2023-01-01 14:00:00;12;78.6;27.3;36.8
2023-01-01 15:00:00;44;79.1;41.9;49.9
2023-01-01 16:00:00;15;78.7;27.8;38.1
2023-01-01 17:00:00;17;78.8;28.0;38.7
2023-01-01 18:00:00;47;79.1;34.4;46.9
2023-01-01 19:00:00;30;79.2;38.0;48.1
2023-01-01 20:00:00;21;78.8;29.0;40.8
2023-01-01 21:00:00;21;79.0;29.1;41.3
2023-01-01 22:00:00;59;79.3;40.6;53.8
2023-01-01 23:00:00;1;69.9;29.7;38.7
2023-01-02 00:00:00;8;77.3;28.1;36.6
2023-01-02 01:00:00;7;78.0;27.5;36.1
2023-01-02 02:00:00;33;77.9;51.6;56.8
2023-01-02 03:00:00;7;75.7;30.4;36.2
2023-01-02 04:00:00;9;78.0;27.0;36.0
2023-01-02 05:00:00;10;78.3;27.0;36.2
2023-01-02 06:00:00;47;79.4;35.4;49.0
2023-01-02 07:00:00;29;79.2;33.6;45.3
2023-01-02 08:00:00;25;79.5;29.8;42.4
2023-01-02 09:00:00;24;79.3;29.9;42.6
2023-01-02 10:00:00;41;79.2;33.5;46.7
2023-01-02 11:00:00;32;79.3;39.6;49.2
2023-01-02 12:00:00;19;79.2;28.8;39.6
2023-01-02 13:00:00;49;78.9;44.1;52.8
2023-01-02 14:00:00;8;78.0;27.2;36.0
2023-01-02 15:00:00;10;78.4;27.0;35.8
2023-01-02 16:00:00;44;78.6;43.4;50.8
2023-01-02 17:00:00;16;78.9;27.5;37.3
2023-01-02 18:00:00;23;78.6;29.0;39.4
2023-01-02 19:00:00;39;78.5;42.0;50.3
2023-01-02 20:00:00;19;78.7;28.0;38.7
2023-01-02 21:00:00;50;78.9;40.1;52.2
2023-01-02 22:00:00;21;78.6;28.8;40.3
2023-01-02 23:00:00;1;69.3;29.0;36.6
2023-01-03 00:00:00;30;75.7;34.5;44.3
2023-01-03 01:00:00;10;72.8;49.2;47.8
2023-01-03 02:00:00;7;76.7;26.9;35.4
2023-01-03 03:00:00;7;76.7;26.7;36.3
2023-01-03 04:00:00;9;77.8;27.0;35.5
2023-01-03 05:00:00;29;77.1;47.4;50.0
2023-01-03 06:00:00;30;79.0;28.1;41.0
2023-01-03 07:00:00;23;78.8;29.0;41.0
2023-01-03 08:00:00;25;78.9;29.2;41.9
2023-01-03 09:00:00;54;79.0;41.0;53.1
2023-01-03 10:00:00;57;79.1;37.7;52.0
2023-01-03 11:00:00;20;79.0;30.5;41.9
2023-01-03 12:00:00;24;79.0;29.1;42.1
2023-01-03 13:00:00;55;79.0;39.1;51.9
2023-01-03 14:00:00;22;79.0;29.0;41.4
2023-01-03 15:00:00;20;78.9;29.1;41.3
2023-01-03 16:00:00;57;79.0;42.4;54.9
2023-01-03 17:00:00;22;79.0;29.5;42.1
2023-01-03 18:00:00;46;78.9;35.0;49.0
2023-01-03 19:00:00;34;79.0;35.4;47.9
2023-01-03 20:00:00;28;79.0;30.7;44.8
2023-01-03 21:00:00;56;79.2;39.9;54.2
2023-01-03 22:00:00;22;79.0;30.6;44.3
2023-01-03 23:00:00;1;74.0;30.9;38.8
2023-01-04 00:00:00;40;76.3;51.6;55.8
2023-01-04 01:00:00;7;75.9;29.8;36.4
2023-01-04 02:00:00;9;78.0;27.7;36.8
2023-01-04 03:00:00;9;78.1;27.0;36.7
2023-01-04 04:00:00;13;78.1;28.0;38.1
2023-01-04 05:00:00;26;78.7;41.9;48.9
2023-01-04 06:00:00;37;79.3;29.3;44.4
2023-01-04 07:00:00;30;79.1;30.6;45.3
2023-01-04 08:00:00;32;79.5;30.5;45.2
2023-01-04 09:00:00;62;79.5;41.8;56.1
2023-01-04 10:00:00;33;79.1;31.8;45.5
2023-01-04 11:00:00;39;79.2;36.9;48.9
2023-01-04 12:00:00;19;79.0;29.4;41.2
2023-01-04 13:00:00;22;79.0;29.0;40.9
2023-01-04 14:00:00;50;79.3;39.8;51.5
2023-01-04 15:00:00;21;79.0;29.0;40.5
2023-01-04 16:00:00;22;79.0;29.0;41.0
2023-01-04 17:00:00;42;79.0;31.9;45.6
2023-01-04 18:00:00;38;79.2;37.9;49.8
2023-01-04 19:00:00;23;79.0;29.8;42.4
2023-01-04 20:00:00;39;79.1;32.8;46.2
2023-01-04 21:00:00;37;79.1;37.6;49.5
2023-01-04 22:00:00;22;79.0;30.0;42.5
2023-01-04 23:00:00;32;78.1;54.6;66.1
2023-01-05 00:00:00;2;70.4;39.0;43.7
2023-01-05 01:00:00;8;77.8;27.0;36.3
2023-01-05 02:00:00;9;78.0;27.0;36.5
2023-01-05 03:00:00;38;78.7;41.7;51.6
2023-01-05 04:00:00;7;76.9;32.9;36.6
2023-01-05 05:00:00;12;78.2;27.0;37.0
2023-01-05 06:00:00;33;79.3;29.0;43.0
2023-01-05 07:00:00;25;79.0;29.6;42.8
2023-01-05 08:00:00;51;79.4;40.6;53.5
2023-01-05 09:00:00;25;79.1;30.1;43.8
2023-01-05 10:00:00;24;79.1;30.0;43.3
2023-01-05 11:00:00;68;79.6;44.6;58.3
2023-01-05 12:00:00;22;79.1;29.7;42.2
2023-01-05 13:00:00;55;79.1;38.0;52.1
2023-01-05 14:00:00;15;79.0;30.5;40.4
2023-01-05 15:00:00;17;79.0;28.6;40.2
2023-01-05 16:00:00;20;79.0;29.0;41.0
2023-01-05 17:00:00;49;79.0;39.9;52.7
2023-01-05 18:00:00;24;79.0;29.7;43.0
2023-01-05 19:00:00;25;79.0;30.0;43.7
2023-01-05 20:00:00;58;79.1;40.3;54.8
2023-01-05 21:00:00;26;79.0;30.8;45.0
2023-01-05 22:00:00;25;79.0;30.8;45.2
2023-01-05 23:00:00;4;75.9;30.7;39.2
2023-01-06 00:00:00;42;78.7;44.5;53.0
2023-01-06 01:00:00;13;78.7;28.2;39.3
2023-01-06 02:00:00;15;78.8;28.2;39.7
2023-01-06 03:00:00;16;79.0;28.1;39.8
2023-01-06 04:00:00;36;79.1;32.3;45.5
2023-01-06 05:00:00;24;78.9;38.2;47.4
2023-01-06 06:00:00;40;79.8;30.8;48.1
2023-01-06 07:00:00;31;79.6;31.0;47.6
2023-01-06 08:00:00;32;79.8;31.0;48.0
2023-01-06 09:00:00;54;80.1;40.7;56.5
2023-01-06 10:00:00;29;80.0;30.9;47.0
2023-01-06 11:00:00;25;79.9;30.6;45.0
2023-01-06 12:00:00;55;79.9;40.6;54.7
2023-01-06 13:00:00;18;79.7;30.0;43.0
2023-01-06 14:00:00;53;79.9;38.6;52.4
2023-01-06 15:00:00;19;79.6;31.2;43.6
2023-01-06 16:00:00;18;79.6;29.4;41.8
2023-01-06 17:00:00;21;79.4;29.0;42.1
2023-01-06 18:00:00;54;79.8;38.7;53.4
2023-01-06 19:00:00;21;79.3;31.6;44.2
2023-01-06 20:00:00;22;79.3;30.0;43.1
2023-01-06 21:00:00;36;79.4;31.9;46.0
2023-01-06 22:00:00;37;79.5;38.2;50.3
2023-01-06 23:00:00;2;74.1;30.4;38.1
