Site;SS33 Rue des Communaux 7 (ID 3233);SS33 Rue des Communaux 7 (ID 3233);SS33 Rue des Communaux 7 (ID 3233);SS33 Rue des Communaux 7 (ID 3233)
Object;Compteur d'énergie sous-station;Compteur d'énergie sous-station;Compteur d'énergie sous-station;Régulation primaire (échangeur 1)
Time Stamp;Puissance [kW];Température depart [°C];Température retour [°C];Temp depart secondaire [°C]
2023-01-01 00:00:00;12;74.0;29.0;40.4
2023-01-01 01:00:00;12;73.4;29.8;40.4
2023-01-01 02:00:00;11;73.0;29.9;40.3
2023-01-01 03:00:00;15;74.2;42.0;48.2
2023-01-01 04:00:00;14;73.3;30.2;41.5
2023-01-01 05:00:00;13;73.0;30.0;41.4
2023-01-01 06:00:00;20;74.5;40.8;49.0
2023-01-01 07:00:00;15;74.0;34.2;45.8
2023-01-01 08:00:00;14;74.1;34.0;45.4
2023-01-01 09:00:00;18;74.7;40.4;49.8
2023-01-01 10:00:00;13;74.6;36.9;46.2
2023-01-01 11:00:00;13;74.3;33.8;44.8
2023-01-01 12:00:00;12;74.4;35.6;44.7
2023-01-01 13:00:00;6;74.7;42.2;46.3
2023-01-01 14:00:00;6;73.6;30.9;39.3
2023-01-01 15:00:00;9;73.6;30.8;40.4
2023-01-01 16:00:00;10;75.0;44.4;48.5
2023-01-01 17:00:00;11;74.0;31.5;41.7
2023-01-01 18:00:00;12;73.9;32.3;42.7
2023-01-01 19:00:00;14;74.7;43.1;49.4
2023-01-01 20:00:00;14;74.0;32.6;43.5
2023-01-01 21:00:00;11;73.9;30.6;41.3
2023-01-01 22:00:00;14;74.9;41.8;48.3
2023-01-01 23:00:00;13;74.0;31.0;42.0
2023-01-02 00:00:00;12;73.1;30.5;41.3
2023-01-02 01:00:00;14;74.2;42.1;48.3
2023-01-02 02:00:00;12;73.1;30.1;40.9
2023-01-02 03:00:00;11;73.0;30.3;40.7
2023-01-02 04:00:00;13;74.2;43.7;48.6
2023-01-02 05:00:00;11;73.0;29.6;40.1
2023-01-02 06:00:00;15;72.9;30.7;42.0
2023-01-02 07:00:00;14;74.7;43.8;49.9
2023-01-02 08:00:00;14;74.1;32.7;43.6
2023-01-02 09:00:00;13;74.3;33.0;44.2
2023-01-02 10:00:00;16;74.8;41.1;49.5
2023-01-02 11:00:00;8;74.5;35.8;43.1
2023-01-02 12:00:00;10;74.0;31.6;41.8
2023-01-02 13:00:00;10;74.2;34.1;42.8
2023-01-02 14:00:00;3;74.3;44.5;46.0
2023-01-02 15:00:00;6;73.2;29.1;37.3
2023-01-02 16:00:00;5;73.1;28.6;37.1
2023-01-02 17:00:00;9;74.5;44.1;46.3
2023-01-02 18:00:00;8;73.2;28.5;37.7
2023-01-02 19:00:00;9;73.4;29.2;38.8
2023-01-02 20:00:00;13;74.3;42.7;47.4
2023-01-02 21:00:00;9;73.2;28.1;37.8
2023-01-02 22:00:00;11;73.8;28.5;38.8
2023-01-02 23:00:00;13;74.3;42.3;47.6
2023-01-03 00:00:00;11;73.0;28.0;38.9
2023-01-03 01:00:00;12;72.9;28.8;39.3
2023-01-03 02:00:00;15;73.7;42.4;47.4
2023-01-03 03:00:00;12;72.0;29.0;39.6
2023-01-03 04:00:00;12;72.3;29.0;39.7
2023-01-03 05:00:00;16;74.0;42.4;47.5
2023-01-03 06:00:00;17;73.1;30.3;42.2
2023-01-03 07:00:00;13;73.6;32.3;43.5
2023-01-03 08:00:00;16;74.7;41.9;49.7
2023-01-03 09:00:00;15;74.1;32.6;43.2
2023-01-03 10:00:00;14;74.0;32.0;43.4
2023-01-03 11:00:00;16;74.7;43.0;49.8
2023-01-03 12:00:00;14;73.8;32.0;43.6
2023-01-03 13:00:00;17;74.6;40.7;49.5
2023-01-03 14:00:00;13;74.3;34.5;43.9
2023-01-03 15:00:00;15;74.0;32.5;43.7
2023-01-03 16:00:00;14;74.6;43.0;49.5
2023-01-03 17:00:00;14;73.9;32.0;43.7
2023-01-03 18:00:00;17;74.7;43.5;50.5
2023-01-03 19:00:00;19;74.0;33.0;45.5
2023-01-03 20:00:00;18;74.9;43.2;50.6
2023-01-03 21:00:00;17;74.1;31.5;43.6
2023-01-03 22:00:00;19;74.4;36.6;47.1
2023-01-03 23:00:00;18;74.2;36.9;45.9
2023-01-04 00:00:00;15;76.3;58.2;60.8
2023-01-04 01:00:00;16;73.4;30.7;42.3
2023-01-04 02:00:00;18;74.8;48.0;53.5
2023-01-04 03:00:00;15;73.0;30.9;42.4
2023-01-04 04:00:00;16;74.6;47.1;53.3
2023-01-04 05:00:00;18;73.0;31.6;43.8
2023-01-04 06:00:00;20;73.6;32.8;45.9
2023-01-04 07:00:00;19;74.2;35.4;47.7
2023-01-04 08:00:00;17;74.0;34.7;47.2
2023-01-04 09:00:00;18;74.0;35.0;47.3
2023-01-04 10:00:00;16;74.0;34.7;46.7
2023-01-04 11:00:00;18;74.1;34.5;46.4
2023-01-04 12:00:00;13;75.1;42.4;49.3
2023-01-04 13:00:00;13;74.1;31.9;43.0
2023-01-04 14:00:00;17;75.3;45.1;50.9
2023-01-04 15:00:00;14;73.9;31.7;42.6
2023-01-04 16:00:00;16;74.7;43.3;49.8
2023-01-04 17:00:00;14;74.0;32.0;43.6
2023-01-04 18:00:00;16;75.0;43.0;50.1
2023-01-04 19:00:00;16;74.0;31.9;44.2
2023-01-04 20:00:00;19;75.0;41.6;50.3
2023-01-04 21:00:00;12;74.2;32.4;41.2
2023-01-04 22:00:00;18;74.1;34.1;44.8
2023-01-04 23:00:00;12;74.1;37.2;44.8
2023-01-05 00:00:00;14;73.0;30.0;41.4
2023-01-05 01:00:00;17;74.3;41.7;48.4
2023-01-05 02:00:00;15;73.2;30.0;41.8
2023-01-05 03:00:00;15;73.0;30.0;41.7
2023-01-05 04:00:00;16;74.1;41.3;48.6
2023-01-05 05:00:00;16;73.4;30.1;41.8
2023-01-05 06:00:00;18;73.1;31.5;44.0
2023-01-05 07:00:00;19;74.6;41.1;50.4
2023-01-05 08:00:00;15;74.3;35.3;45.3
2023-01-05 09:00:00;16;74.0;33.0;45.2
2023-01-05 10:00:00;18;75.0;43.6;50.7
2023-01-05 11:00:00;16;74.0;33.1;44.9
2023-01-05 12:00:00;19;74.5;37.5;47.9
2023-01-05 13:00:00;13;74.6;38.4;46.4
2023-01-05 14:00:00;12;74.0;32.3;43.0
2023-01-05 15:00:00;15;74.9;43.9;50.2
2023-01-05 16:00:00;13;73.9;32.7;43.5
2023-01-05 17:00:00;15;75.0;43.7;50.3
2023-01-05 18:00:00;16;74.0;33.5;45.3
2023-01-05 19:00:00;20;74.9;42.4;51.1
2023-01-05 20:00:00;18;74.1;34.3;46.2
2023-01-05 21:00:00;19;74.4;36.2;47.2
2023-01-05 22:00:00;15;74.6;38.5;47.1
2023-01-05 23:00:00;17;73.7;32.4;44.7
2023-01-06 00:00:00;21;74.7;42.2;50.4
2023-01-06 01:00:00;18;73.4;33.0;45.7
2023-01-06 02:00:00;23;74.6;39.8;50.3
2023-01-06 03:00:00;18;74.2;36.4;47.2
2023-01-06 04:00:00;22;74.0;34.3;47.6
2023-01-06 05:00:00;22;74.4;37.6;49.1
2023-01-06 06:00:00;21;75.2;39.1;50.2
2023-01-06 07:00:00;19;74.9;36.1;48.6
2023-01-06 08:00:00;23;75.1;39.2;50.7
2023-01-06 09:00:00;18;75.4;40.0;50.2
2023-01-06 10:00:00;19;75.0;36.0;48.5
2023-01-06 11:00:00;19;75.7;43.7;52.0
2023-01-06 12:00:00;17;74.9;35.4;47.4
2023-01-06 13:00:00;18;75.4;42.8;51.7
2023-01-06 14:00:00;14;74.8;36.0;45.7
2023-01-06 15:00:00;18;75.0;38.6;48.6
2023-01-06 16:00:00;12;74.8;37.7;45.7
2023-01-06 17:00:00;18;74.4;34.9;45.9
2023-01-06 18:00:00;15;75.1;42.0;49.8
2023-01-06 19:00:00;16;74.1;33.0;44.9
2023-01-06 20:00:00;18;75.2;42.5;49.9
2023-01-06 21:00:00;14;74.1;30.4;42.1
2023-01-06 22:00:00;18;75.1;41.5;48.7
2023-01-06 23:00:00;17;74.0;30.8;42.8
