Site;SS34 Chemin Vert 29 (ID 3234);SS34 Chemin Vert 29 (ID 3234);SS34 Chemin Vert 29 (ID 3234);SS34 Chemin Vert 29 (ID 3234)
Object;Compteur d'énergie sous-station;Compteur d'énergie sous-station;Compteur d'énergie sous-station;Régulation primaire (échangeur 1)
Time Stamp;Puissance [kW];Température depart [°C];Température retour [°C];Temp depart secondaire [°C]
2023-01-01 00:00:00;12;75.0;36.0;42.6
2023-01-01 01:00:00;12;75.0;36.0;42.6
2023-01-01 02:00:00;20;75.0;38.1;47.0
2023-01-01 03:00:00;17;76.8;49.1;60.1
2023-01-01 04:00:00;13;75.9;35.7;43.0
2023-01-01 05:00:00;12;74.9;36.0;43.1
2023-01-01 06:00:00;24;76.8;50.7;64.3
2023-01-01 07:00:00;12;76.5;36.6;44.2
2023-01-01 08:00:00;13;75.7;37.0;44.6
2023-01-01 09:00:00;23;75.3;39.5;49.4
2023-01-01 10:00:00;17;77.5;47.5;56.5
2023-01-01 11:00:00;15;76.8;37.4;45.2
2023-01-01 12:00:00;31;78.4;52.8;67.4
2023-01-01 13:00:00;32;77.6;40.4;53.9
2023-01-01 14:00:00;12;77.7;46.2;54.7
2023-01-01 15:00:00;30;77.7;48.1;62.7
2023-01-01 16:00:00;9;76.9;38.1;44.2
2023-01-01 17:00:00;38;78.0;51.4;67.6
2023-01-01 18:00:00;13;76.8;35.5;42.7
2023-01-01 19:00:00;43;78.5;53.5;73.1
2023-01-01 20:00:00;10;77.4;39.1;45.6
2023-01-01 21:00:00;34;78.0;49.9;64.4
2023-01-01 22:00:00;11;77.2;36.3;43.5
2023-01-01 23:00:00;29;76.8;42.7;55.1
2023-01-02 00:00:00;9;76.7;44.1;52.1
2023-01-02 01:00:00;13;75.8;36.0;43.0
2023-01-02 02:00:00;12;74.6;36.0;42.8
2023-01-02 03:00:00;12;74.0;36.0;42.8
2023-01-02 04:00:00;28;75.2;43.6;55.0
2023-01-02 05:00:00;8;75.8;44.2;52.3
2023-01-02 06:00:00;14;75.8;36.0;44.0
2023-01-02 07:00:00;13;75.0;37.0;44.0
2023-01-02 08:00:00;28;77.5;52.3;65.3
2023-01-02 09:00:00;12;76.9;36.2;43.9
2023-01-02 10:00:00;35;77.6;45.3;60.2
2023-01-02 11:00:00;10;77.4;41.2;48.4
2023-01-02 12:00:00;41;78.3;48.3;66.0
2023-01-02 13:00:00;37;79.0;53.9;72.7
2023-01-02 14:00:00;6;75.9;36.5;40.6
2023-01-02 15:00:00;28;78.2;52.8;67.0
2023-01-02 16:00:00;9;76.0;32.7;39.2
2023-01-02 17:00:00;10;75.1;33.5;39.3
2023-01-02 18:00:00;30;78.1;51.5;65.1
2023-01-02 19:00:00;10;76.2;33.3;39.9
2023-01-02 20:00:00;45;78.0;53.3;73.0
2023-01-02 21:00:00;11;77.2;39.2;45.8
2023-01-02 22:00:00;32;77.3;43.2;56.4
2023-01-02 23:00:00;9;76.6;44.4;52.5
2023-01-03 00:00:00;12;75.5;34.8;41.5
2023-01-03 01:00:00;11;74.1;35.0;41.7
2023-01-03 02:00:00;11;73.3;35.0;41.8
2023-01-03 03:00:00;10;73.8;34.4;43.1
2023-01-03 04:00:00;25;75.9;52.3;64.9
2023-01-03 05:00:00;11;75.6;35.0;42.0
2023-01-03 06:00:00;13;74.9;35.8;43.2
2023-01-03 07:00:00;32;76.2;48.4;62.1
2023-01-03 08:00:00;10;76.7;38.9;46.0
2023-01-03 09:00:00;37;77.6;48.2;64.2
2023-01-03 10:00:00;12;77.4;40.2;47.7
2023-01-03 11:00:00;30;77.1;42.5;55.3
2023-01-03 12:00:00;13;77.2;44.1;52.5
2023-01-03 13:00:00;36;77.7;46.2;61.2
2023-01-03 14:00:00;12;77.5;40.4;48.3
2023-01-03 15:00:00;18;76.2;36.7;45.3
2023-01-03 16:00:00;27;78.1;50.0;63.0
2023-01-03 17:00:00;14;76.9;35.6;43.5
2023-01-03 18:00:00;27;76.2;40.2;51.7
2023-01-03 19:00:00;17;77.3;47.2;57.1
2023-01-03 20:00:00;27;76.6;39.0;50.2
2023-01-03 21:00:00;39;78.9;54.5;73.0
2023-01-03 22:00:00;17;77.5;39.5;47.5
2023-01-03 23:00:00;24;78.2;49.7;62.0
2023-01-04 00:00:00;13;76.6;36.0;43.8
2023-01-04 01:00:00;13;75.3;36.0;43.8
2023-01-04 02:00:00;29;75.0;39.8;51.2
2023-01-04 03:00:00;16;77.1;47.2;57.0
2023-01-04 04:00:00;13;76.3;36.0;43.7
2023-01-04 05:00:00;13;75.5;36.0;44.0
2023-01-04 06:00:00;30;77.0;48.1;59.8
2023-01-04 07:00:00;13;76.9;37.2;45.2
2023-01-04 08:00:00;23;76.2;38.7;48.7
2023-01-04 09:00:00;27;78.4;49.7;62.7
2023-01-04 10:00:00;30;77.4;40.5;53.4
2023-01-04 11:00:00;20;78.3;48.1;59.2
2023-01-04 12:00:00;24;77.0;37.4;47.8
2023-01-04 13:00:00;42;79.0;53.4;73.1
2023-01-04 14:00:00;20;78.2;45.3;55.4
2023-01-04 15:00:00;14;77.1;36.0;43.5
2023-01-04 16:00:00;21;75.9;37.9;47.7
2023-01-04 17:00:00;21;78.1;48.7;60.2
2023-01-04 18:00:00;14;76.6;35.8;43.8
2023-01-04 19:00:00;35;77.1;43.8;58.5
2023-01-04 20:00:00;20;78.2;46.3;57.2
2023-01-04 21:00:00;33;77.9;45.0;59.7
2023-01-04 22:00:00;10;77.2;42.4;49.7
2023-01-04 23:00:00;33;77.2;45.2;59.8
2023-01-05 00:00:00;10;77.1;41.4;48.4
2023-01-05 01:00:00;13;76.1;36.0;43.1
2023-01-05 02:00:00;13;74.9;36.0;43.2
2023-01-05 03:00:00;13;74.0;36.0;43.2
2023-01-05 04:00:00;26;76.5;51.8;64.5
2023-01-05 05:00:00;12;75.9;35.7;43.3
2023-01-05 06:00:00;14;75.4;36.3;44.4
2023-01-05 07:00:00;35;76.4;46.4;60.3
2023-01-05 08:00:00;10;77.1;41.8;49.5
2023-01-05 09:00:00;35;76.8;41.5;55.5
2023-01-05 10:00:00;25;78.5;49.4;62.4
2023-01-05 11:00:00;14;76.9;36.0;44.1
2023-01-05 12:00:00;37;77.1;43.2;58.3
2023-01-05 13:00:00;42;79.0;52.9;73.0
2023-01-05 14:00:00;18;77.7;45.5;55.7
2023-01-05 15:00:00;21;76.6;37.0;46.5
2023-01-05 16:00:00;21;78.2;48.4;60.0
2023-01-05 17:00:00;13;76.4;35.5;42.9
2023-01-05 18:00:00;33;76.4;42.1;54.9
2023-01-05 19:00:00;14;77.7;44.5;53.0
2023-01-05 20:00:00;43;78.4;49.6;68.6
2023-01-05 21:00:00;17;77.8;42.9;51.8
2023-01-05 22:00:00;35;77.6;45.0;59.9
2023-01-05 23:00:00;17;76.7;48.5;60.4
2023-01-06 00:00:00;14;76.4;36.7;44.6
2023-01-06 01:00:00;14;75.6;37.0;45.1
2023-01-06 02:00:00;14;75.0;37.0;45.5
2023-01-06 03:00:00;24;75.3;40.1;50.3
2023-01-06 04:00:00;20;77.8;47.3;57.6
2023-01-06 05:00:00;15;77.0;38.0;46.5
2023-01-06 06:00:00;16;76.0;38.3;47.3
2023-01-06 07:00:00;33;77.5;47.6;61.9
2023-01-06 08:00:00;12;78.3;41.9;49.3
2023-01-06 09:00:00;36;77.8;44.2;59.2
2023-01-06 10:00:00;21;79.1;47.3;58.4
2023-01-06 11:00:00;14;77.5;37.9;45.8
2023-01-06 12:00:00;41;78.4;47.0;63.8
2023-01-06 13:00:00;19;78.7;46.0;56.7
2023-01-06 14:00:00;44;78.9;50.4;68.9
2023-01-06 15:00:00;12;78.1;40.1;47.4
2023-01-06 16:00:00;29;78.1;51.2;65.3
2023-01-06 17:00:00;13;77.0;36.0;44.0
2023-01-06 18:00:00;31;76.9;40.9;53.9
2023-01-06 19:00:00;24;78.7;50.1;62.5
2023-01-06 20:00:00;27;77.3;38.6;49.9
2023-01-06 21:00:00;41;79.3;53.2;73.0
2023-01-06 22:00:00;18;77.9;44.2;53.7
2023-01-06 23:00:00;12;76.6;37.0;43.7
