Site;SS36 Verger 10 (ID 3236);SS36 Verger 10 (ID 3236);SS36 Verger 10 (ID 3236);SS36 Verger 10 (ID 3236)
Object;Compteur d'énergie sous-station;Compteur d'énergie sous-station;Compteur d'énergie sous-station;Régulation primaire (échangeur 1)
Time Stamp;Puissance [kW];Température depart [°C];Température retour [°C];Temp depart secondaire [°C]
2023-01-01 00:00:00;23;76.0;35.0;44.6
2023-01-01 01:00:00;25;75.6;35.0;44.7
2023-01-01 02:00:00;25;75.4;35.0;44.7
2023-01-01 03:00:00;30;76.3;43.7;52.3
2023-01-01 04:00:00;27;76.3;35.7;45.1
2023-01-01 05:00:00;26;75.6;35.3;45.1
2023-01-01 06:00:00;27;75.8;35.5;45.2
2023-01-01 07:00:00;52;76.9;40.5;55.8
2023-01-01 08:00:00;42;77.0;43.0;55.9
2023-01-01 09:00:00;44;77.8;47.0;59.9
2023-01-01 10:00:00;41;77.1;43.0;55.8
2023-01-01 11:00:00;40;77.1;43.0;55.5
2023-01-01 12:00:00;33;78.2;41.6;52.9
2023-01-01 13:00:00;29;77.2;39.5;49.9
2023-01-01 14:00:00;28;76.0;38.3;48.4
2023-01-01 15:00:00;34;77.1;44.9;54.9
2023-01-01 16:00:00;27;76.2;37.4;47.4
2023-01-01 17:00:00;35;76.4;39.3;51.0
2023-01-01 18:00:00;36;76.6;40.7;52.4
2023-01-01 19:00:00;36;76.9;41.0;53.0
2023-01-01 20:00:00;41;78.0;42.1;55.1
2023-01-01 21:00:00;15;75.8;52.5;58.7
2023-01-01 22:00:00;26;75.4;35.8;45.1
2023-01-01 23:00:00;26;75.5;36.0;45.2
2023-01-02 00:00:00;25;75.8;35.7;45.1
2023-01-02 01:00:00;25;75.8;36.0;45.1
2023-01-02 02:00:00;24;75.7;35.1;44.7
2023-01-02 03:00:00;25;75.8;35.1;44.8
2023-01-02 04:00:00;25;75.6;35.0;44.8
2023-01-02 05:00:00;30;76.7;46.1;55.5
2023-01-02 06:00:00;51;77.4;39.9;55.1
2023-01-02 07:00:00;40;77.2;42.5;55.3
2023-01-02 08:00:00;40;77.2;42.6;55.3
2023-01-02 09:00:00;40;77.3;42.6;55.4
2023-01-02 10:00:00;41;77.4;47.2;59.2
2023-01-02 11:00:00;36;77.5;41.5;53.4
2023-01-02 12:00:00;35;78.3;41.0;52.6
2023-01-02 13:00:00;29;77.1;40.2;50.3
2023-01-02 14:00:00;24;76.0;37.7;47.2
2023-01-02 15:00:00;25;76.0;37.0;46.6
2023-01-02 16:00:00;32;76.9;47.0;56.9
2023-01-02 17:00:00;28;76.5;36.8;47.3
2023-01-02 18:00:00;29;76.0;37.3;47.8
2023-01-02 19:00:00;32;76.1;38.2;49.0
2023-01-02 20:00:00;33;77.4;39.0;50.3
2023-01-02 21:00:00;35;77.0;40.0;51.6
2023-01-02 22:00:00;38;76.9;45.8;57.2
2023-01-02 23:00:00;12;74.1;35.9;42.8
2023-01-03 00:00:00;23;75.0;34.0;43.1
2023-01-03 01:00:00;23;75.0;34.0;43.2
2023-01-03 02:00:00;23;75.0;34.0;43.3
2023-01-03 03:00:00;22;74.8;33.6;43.4
2023-01-03 04:00:00;24;75.0;34.0;43.5
2023-01-03 05:00:00;24;75.0;34.3;43.6
2023-01-03 06:00:00;52;77.0;45.2;59.4
2023-01-03 07:00:00;39;77.0;42.0;54.1
2023-01-03 08:00:00;38;77.0;42.0;54.1
2023-01-03 09:00:00;38;76.8;41.9;53.9
2023-01-03 10:00:00;41;77.0;41.0;53.9
2023-01-03 11:00:00;43;78.1;46.3;59.0
2023-01-03 12:00:00;40;77.5;41.8;54.3
2023-01-03 13:00:00;39;76.9;42.0;54.4
2023-01-03 14:00:00;39;77.0;42.0;54.5
2023-01-03 15:00:00;39;77.0;42.0;54.7
2023-01-03 16:00:00;42;77.0;42.4;55.5
2023-01-03 17:00:00;40;78.3;46.6;58.6
2023-01-03 18:00:00;40;77.5;42.0;55.1
2023-01-03 19:00:00;41;76.9;42.8;55.5
2023-01-03 20:00:00;41;77.0;43.0;55.9
2023-01-03 21:00:00;44;77.0;43.2;56.7
2023-01-03 22:00:00;18;75.5;52.9;59.4
2023-01-03 23:00:00;26;76.0;35.9;45.4
2023-01-04 00:00:00;26;76.0;36.0;45.3
2023-01-04 01:00:00;26;76.0;36.0;45.3
2023-01-04 02:00:00;26;76.0;36.0;45.3
2023-01-04 03:00:00;26;76.0;36.0;45.2
2023-01-04 04:00:00;26;76.0;35.9;45.3
2023-01-04 05:00:00;27;75.9;36.0;45.5
2023-01-04 06:00:00;57;77.9;46.7;61.9
2023-01-04 07:00:00;44;77.5;43.0;56.7
2023-01-04 08:00:00;42;77.5;43.0;56.4
2023-01-04 09:00:00;42;77.9;43.0;56.3
2023-01-04 10:00:00;43;78.3;42.8;56.0
2023-01-04 11:00:00;42;78.7;47.3;59.8
2023-01-04 12:00:00;38;78.1;42.0;54.2
2023-01-04 13:00:00;38;77.0;41.9;53.9
2023-01-04 14:00:00;37;77.0;42.0;53.8
2023-01-04 15:00:00;38;77.0;42.0;54.0
2023-01-04 16:00:00;45;77.0;42.1;55.2
2023-01-04 17:00:00;41;78.1;46.0;58.3
2023-01-04 18:00:00;41;77.8;42.0;54.9
2023-01-04 19:00:00;40;77.0;42.0;55.0
2023-01-04 20:00:00;41;77.0;42.0;55.1
2023-01-04 21:00:00;41;77.1;42.1;55.1
2023-01-04 22:00:00;19;76.4;50.5;59.9
2023-01-04 23:00:00;25;75.9;35.5;45.0
2023-01-05 00:00:00;26;76.0;35.4;45.1
2023-01-05 01:00:00;26;76.0;35.9;45.1
2023-01-05 02:00:00;26;76.0;35.7;45.1
2023-01-05 03:00:00;26;75.7;35.7;45.1
2023-01-05 04:00:00;27;76.0;35.8;45.2
2023-01-05 05:00:00;27;76.0;35.8;45.2
2023-01-05 06:00:00;57;77.7;45.7;60.8
2023-01-05 07:00:00;42;77.4;42.2;55.6
2023-01-05 08:00:00;42;77.0;42.8;55.7
2023-01-05 09:00:00;42;77.0;42.8;55.6
2023-01-05 10:00:00;43;78.2;42.0;55.4
2023-01-05 11:00:00;45;78.3;42.8;56.2
2023-01-05 12:00:00;41;77.6;46.3;58.5
2023-01-05 13:00:00;39;77.1;42.0;54.5
2023-01-05 14:00:00;33;77.0;41.3;52.4
2023-01-05 15:00:00;35;76.9;40.1;51.9
2023-01-05 16:00:00;31;77.0;39.1;49.7
2023-01-05 17:00:00;44;78.5;45.5;58.0
2023-01-05 18:00:00;42;77.1;41.8;54.8
2023-01-05 19:00:00;41;77.0;42.4;55.3
2023-01-05 20:00:00;42;77.0;43.0;55.8
2023-01-05 21:00:00;42;77.0;43.0;56.1
2023-01-05 22:00:00;21;75.6;43.5;51.2
2023-01-05 23:00:00;28;77.2;41.1;50.7
2023-01-06 00:00:00;27;76.1;36.0;45.9
2023-01-06 01:00:00;28;76.0;36.0;46.1
2023-01-06 02:00:00;28;76.0;36.0;46.2
2023-01-06 03:00:00;28;76.0;36.0;46.3
2023-01-06 04:00:00;29;76.5;36.0;46.4
2023-01-06 05:00:00;28;76.7;36.0;46.4
2023-01-06 06:00:00;58;77.8;41.6;58.1
2023-01-06 07:00:00;49;78.5;48.0;61.6
2023-01-06 08:00:00;46;78.0;44.0;57.7
2023-01-06 09:00:00;45;78.0;44.0;57.5
2023-01-06 10:00:00;44;78.6;44.0;57.3
2023-01-06 11:00:00;42;79.0;43.6;56.6
2023-01-06 12:00:00;41;79.0;43.0;56.0
2023-01-06 13:00:00;42;78.4;47.1;59.3
2023-01-06 14:00:00;38;77.4;42.3;54.7
2023-01-06 15:00:00;37;77.3;42.3;54.3
2023-01-06 16:00:00;36;77.2;41.6;53.5
2023-01-06 17:00:00;40;77.5;42.1;54.8
2023-01-06 18:00:00;44;78.0;47.3;59.9
2023-01-06 19:00:00;40;78.8;42.8;55.4
2023-01-06 20:00:00;40;77.7;43.0;55.4
2023-01-06 21:00:00;40;77.2;43.0;55.5
2023-01-06 22:00:00;15;75.5;37.8;45.4
2023-01-06 23:00:00;26;76.0;36.0;45.4
2023-01-07 00:00:00;29;77.0;46.0;55.2
