Site;SS37 Av. de Gilamont 62-64-66 (ID 3237);SS37 Av. de Gilamont 62-64-66 (ID 3237);SS37 Av. de Gilamont 62-64-66 (ID 3237);SS37 Av. de Gilamont 62-64-66 (ID 3237)
Object;Compteur d'énergie sous-station;Compteur d'énergie sous-station;Compteur d'énergie sous-station;Régulation primaire (échangeur 1)
Time Stamp;Puissance [kW];Température depart [°C];Température retour [°C];Temp depart secondaire [°C]
2023-01-01 00:00:00;71;80.0;54.0;56.6
2023-01-01 01:00:00;65;80.0;54.0;56.3
2023-01-01 02:00:00;107;80.5;60.7;63.8
2023-01-01 03:00:00;61;75.4;65.8;65.7
2023-01-01 04:00:00;71;80.0;54.1;56.8
2023-01-01 05:00:00;77;80.3;55.0;57.8
2023-01-01 06:00:00;122;80.5;65.3;68.4
2023-01-01 07:00:00;64;78.0;58.9;60.3
2023-01-01 08:00:00;111;80.5;60.7;64.0
2023-01-01 09:00:00;72;79.8;61.3;63.0
2023-01-01 10:00:00;84;80.3;57.1;60.1
2023-01-01 11:00:00;120;80.9;66.3;69.3
2023-01-01 12:00:00;98;80.7;71.4;73.4
2023-01-01 13:00:00;67;73.3;63.7;63.3
2023-01-01 14:00:00;123;80.9;70.1;73.0
2023-01-01 15:00:00;72;76.1;69.3;69.3
2023-01-01 16:00:00;61;73.0;66.5;65.4
2023-01-01 17:00:00;107;80.1;69.9;72.1
2023-01-01 18:00:00;124;80.7;69.8;72.7
2023-01-01 19:00:00;49;75.0;58.4;58.4
2023-01-01 20:00:00;155;80.5;66.9;71.0
2023-01-01 21:00:00;132;80.7;69.2;72.4
2023-01-01 22:00:00;107;80.6;71.1;73.6
2023-01-01 23:00:00;86;79.4;70.2;71.8
2023-01-02 00:00:00;61;77.2;55.1;56.4
2023-01-02 01:00:00;85;75.4;63.6;64.4
2023-01-02 02:00:00;68;79.8;54.1;56.4
2023-01-02 03:00:00;70;80.1;54.1;56.6
2023-01-02 04:00:00;69;80.2;54.2;56.7
2023-01-02 05:00:00;79;80.3;55.5;58.1
2023-01-02 06:00:00;81;80.2;56.5;59.2
2023-01-02 07:00:00;101;80.6;58.5;61.3
2023-01-02 08:00:00;74;77.9;68.0;68.7
2023-01-02 09:00:00;101;80.5;57.4;60.5
2023-01-02 10:00:00;110;79.7;68.4;70.7
2023-01-02 11:00:00;65;76.9;67.7;67.7
2023-01-02 12:00:00;81;80.2;54.9;57.6
2023-01-02 13:00:00;114;81.0;70.9;73.6
2023-01-02 14:00:00;94;79.0;70.2;71.6
2023-01-02 15:00:00;76;72.8;66.9;66.0
2023-01-02 16:00:00;75;79.2;71.9;72.8
2023-01-02 17:00:00;40;72.6;68.5;66.1
2023-01-02 18:00:00;114;79.7;63.9;66.8
2023-01-02 19:00:00;116;80.4;70.3;72.9
2023-01-02 20:00:00;96;80.7;72.3;74.1
2023-01-02 21:00:00;94;79.9;70.8;72.7
2023-01-02 22:00:00;104;80.1;71.4;73.6
2023-01-02 23:00:00;83;78.2;68.8;69.8
2023-01-03 00:00:00;85;75.7;62.1;63.0
2023-01-03 01:00:00;38;73.2;59.2;58.2
2023-01-03 02:00:00;62;79.6;53.0;55.0
2023-01-03 03:00:00;63;79.9;53.0;55.4
2023-01-03 04:00:00;64;79.8;53.0;55.5
2023-01-03 05:00:00;75;79.8;54.5;56.9
2023-01-03 06:00:00;78;80.0;55.4;58.0
2023-01-03 07:00:00;100;80.1;58.7;61.7
2023-01-03 08:00:00;71;77.5;68.6;69.1
2023-01-03 09:00:00;131;80.4;67.7;71.0
2023-01-03 10:00:00;20;75.0;66.9;65.2
2023-01-03 11:00:00;94;77.4;62.6;64.4
2023-01-03 12:00:00;108;80.1;69.6;71.9
2023-01-03 13:00:00;108;77.4;65.6;67.5
2023-01-03 14:00:00;107;80.4;70.9;73.3
2023-01-03 15:00:00;97;80.1;70.5;72.4
2023-01-03 16:00:00;127;77.5;64.5;67.0
2023-01-03 17:00:00;60;76.5;60.3;61.0
2023-01-03 18:00:00;113;80.3;64.3;67.2
2023-01-03 19:00:00;133;77.9;63.5;66.2
2023-01-03 20:00:00;145;80.6;67.8;71.5
2023-01-03 21:00:00;131;80.5;69.2;72.3
2023-01-03 22:00:00;132;80.6;69.1;72.2
2023-01-03 23:00:00;70;79.9;59.2;61.2
2023-01-04 00:00:00;103;80.1;58.9;61.9
2023-01-04 01:00:00;82;78.9;69.0;70.1
2023-01-04 02:00:00;88;78.6;56.9;59.2
2023-01-04 03:00:00;77;77.0;65.1;66.0
2023-01-04 04:00:00;76;80.1;56.0;58.6
2023-01-04 05:00:00;88;80.4;56.8;59.8
2023-01-04 06:00:00;90;80.2;58.0;61.2
2023-01-04 07:00:00;92;80.4;58.9;61.8
2023-01-04 08:00:00;120;80.6;65.9;68.9
2023-01-04 09:00:00;74;80.2;59.4;61.6
2023-01-04 10:00:00;132;80.8;66.8;70.2
2023-01-04 11:00:00;101;78.8;64.1;66.2
2023-01-04 12:00:00;104;78.4;65.5;67.5
2023-01-04 13:00:00;99;80.7;71.0;73.0
2023-01-04 14:00:00;90;77.3;60.0;61.8
2023-01-04 15:00:00;131;80.7;69.1;72.3
2023-01-04 16:00:00;99;80.6;71.9;74.0
2023-01-04 17:00:00;70;77.4;64.4;65.2
2023-01-04 18:00:00;116;80.3;59.4;63.0
2023-01-04 19:00:00;136;80.7;68.8;72.1
2023-01-04 20:00:00;130;80.6;69.4;72.4
2023-01-04 21:00:00;139;80.5;68.4;71.8
2023-01-04 22:00:00;147;80.4;67.9;71.5
2023-01-04 23:00:00;120;80.4;65.1;68.3
2023-01-05 00:00:00;47;75.7;58.6;58.7
2023-01-05 01:00:00;73;79.9;54.9;57.1
2023-01-05 02:00:00;74;80.0;55.0;57.5
2023-01-05 03:00:00;111;80.5;62.5;65.4
2023-01-05 04:00:00;58;76.6;57.1;58.0
2023-01-05 05:00:00;99;80.3;57.4;60.4
2023-01-05 06:00:00;87;80.1;65.2;67.0
2023-01-05 07:00:00;120;80.5;64.8;68.1
2023-01-05 08:00:00;32;78.1;67.6;66.9
2023-01-06 07:00:00;126;80.9;64.9;68.4
2023-01-06 08:00:00;103;81.0;63.2;66.5
2023-01-06 09:00:00;121;81.0;66.8;69.9
2023-01-06 10:00:00;105;81.0;61.2;64.8
2023-01-06 11:00:00;134;81.0;64.2;68.0
2023-01-06 12:00:00;118;81.3;71.0;73.6
2023-01-06 13:00:00;88;79.6;69.9;71.4
2023-01-06 14:00:00;99;80.4;58.4;61.4
2023-01-06 15:00:00;143;81.1;68.8;72.3
2023-01-06 16:00:00;60;78.1;60.2;61.4
2023-01-06 17:00:00;140;81.1;68.9;72.3
2023-01-06 18:00:00;137;81.1;69.0;72.4
2023-01-06 19:00:00;108;80.7;68.0;70.3
2023-01-06 20:00:00;118;80.7;68.1;70.9
2023-01-06 21:00:00;135;81.0;69.4;72.5
2023-01-06 22:00:00;100;80.7;69.7;71.7
2023-01-06 23:00:00;139;80.7;68.2;71.7
2023-01-07 00:00:00;62;77.1;62.5;63.0
2023-01-07 01:00:00;79;80.5;56.3;59.1
2023-01-07 02:00:00;83;80.8;56.9;59.6
2023-01-07 03:00:00;90;80.5;57.6;60.6
2023-01-07 04:00:00;90;80.8;58.2;61.5
2023-01-07 05:00:00;100;81.1;59.7;62.9
2023-01-07 06:00:00;99;80.7;60.8;64.1
2023-01-07 07:00:00;129;81.1;64.4;67.9
2023-01-07 08:00:00;124;81.1;69.5;72.3
2023-01-07 09:00:00;117;81.2;62.7;66.4
2023-01-07 10:00:00;111;81.2;66.1;69.2
2023-01-07 11:00:00;141;81.4;66.2;70.0
2023-01-07 12:00:00;116;81.2;66.2;68.9
2023-01-07 13:00:00;98;80.8;65.9;68.1
2023-01-07 14:00:00;160;81.3;67.5;71.5
2023-01-07 15:00:00;104;79.2;67.1;69.1
2023-01-07 16:00:00;80;78.2;65.1;66.4
2023-01-07 17:00:00;83;80.9;57.1;59.9
2023-01-07 18:00:00;140;81.0;65.9;69.6
2023-01-07 19:00:00;96;81.0;64.4;66.9
2023-01-07 20:00:00;175;81.1;64.5;69.2
