Site;SS38 Av. de Gilamont 13-15-17-19a-19b (ID 3238);SS38 Av. de Gilamont 13-15-17-19a-19b (ID 3238);SS38 Av. de Gilamont 13-15-17-19a-19b (ID 3238);SS38 Av. de Gilamont 13-15-17-19a-19b (ID 3238)
Object;Compteur d'énergie sous-station;Compteur d'énergie sous-station;Compteur d'énergie sous-station;Régulation primaire (échangeur 1)
Time Stamp;Puissance [kW];Température depart [°C];Température retour [°C];Temp depart secondaire [°C]
2023-01-01 00:00:00;114;80.0;70.0;69.7
2023-01-01 01:00:00;47;79.6;53.1;47.0
2023-01-01 02:00:00;51;79.7;48.2;45.0
2023-01-01 03:00:00;28;77.6;72.3;68.8
2023-01-01 04:00:00;91;78.4;64.0;61.0
2023-01-01 05:00:00;36;79.9;47.4;41.1
2023-01-01 06:00:00;73;79.9;44.4;42.1
2023-01-01 07:00:00;34;78.7;72.9;74.4
2023-01-01 08:00:00;20;73.7;65.5;69.1
2023-01-01 09:00:00;15;77.6;67.6;61.9
2023-01-01 10:00:00;62;79.5;72.2;69.0
2023-01-01 11:00:00;92;80.0;70.5;66.9
2023-01-01 12:00:00;143;80.9;68.0;67.6
2023-01-01 13:00:00;131;80.8;68.9;68.6
2023-01-01 14:00:00;74;80.5;63.0;59.5
2023-01-01 15:00:00;39;79.5;73.4;71.2
2023-01-01 16:00:00;88;79.8;70.8;67.9
2023-01-01 17:00:00;125;80.4;69.2;68.8
2023-01-01 18:00:00;65;80.1;62.7;59.7
2023-01-01 19:00:00;40;78.7;72.6;70.8
2023-01-01 20:00:00;89;80.2;71.2;68.2
2023-01-01 21:00:00;143;80.6;67.7;67.3
2023-01-01 22:00:00;135;80.7;68.3;67.9
2023-01-01 23:00:00;80;80.1;61.8;57.3
2023-01-02 00:00:00;80;80.1;62.6;57.9
2023-01-02 01:00:00;69;80.4;61.0;55.6
2023-01-02 02:00:00;55;79.4;49.8;46.6
2023-01-02 03:00:00;47;79.0;41.9;38.4
2023-01-02 04:00:00;52;79.6;55.9;54.0
2023-01-02 05:00:00;0;75.5;69.6;72.3
2023-01-02 06:00:00;19;76.2;70.4;70.1
2023-01-02 07:00:00;59;78.6;51.2;48.0
2023-01-02 08:00:00;14;78.1;73.4;71.0
2023-01-02 09:00:00;95;77.6;66.3;65.2
2023-01-02 10:00:00;135;81.0;68.7;68.1
2023-01-02 11:00:00;114;80.9;70.6;70.5
2023-01-02 12:00:00;125;80.9;69.4;69.1
2023-01-02 13:00:00;121;81.0;70.0;69.7
2023-01-02 14:00:00;40;79.6;64.8;61.8
2023-01-02 15:00:00;42;79.5;73.8;68.7
2023-01-02 16:00:00;95;79.6;70.1;67.4
2023-01-02 17:00:00;129;80.6;68.9;68.2
2023-01-02 18:00:00;89;79.9;61.1;57.8
2023-01-02 19:00:00;35;79.1;74.0;71.3
2023-01-02 20:00:00;55;80.0;73.2;68.1
2023-01-02 21:00:00;99;79.8;70.2;65.2
2023-01-02 22:00:00;147;80.1;67.0;66.4
2023-01-02 23:00:00;114;80.3;69.5;65.9
2023-01-03 00:00:00;112;80.4;63.2;61.3
2023-01-03 01:00:00;47;79.2;59.3;54.4
2023-01-03 02:00:00;18;78.1;73.2;70.5
2023-01-03 03:00:00;38;78.8;58.1;52.3
2023-01-03 04:00:00;57;79.3;41.4;38.0
2023-01-03 05:00:00;62;79.2;51.9;49.9
2023-01-03 06:00:00;0;75.2;70.2;71.9
2023-01-03 07:00:00;36;76.4;69.5;68.2
2023-01-03 08:00:00;53;79.2;69.9;65.3
2023-01-03 09:00:00;19;78.5;74.1;70.9
2023-01-03 10:00:00;36;78.9;73.3;68.1
2023-01-03 11:00:00;71;79.9;55.7;50.9
2023-01-03 12:00:00;57;79.4;70.4;66.9
2023-01-03 13:00:00;79;80.0;56.5;51.9
2023-01-03 14:00:00;50;79.5;73.9;68.9
2023-01-03 15:00:00;38;79.3;74.2;68.5
2023-01-03 16:00:00;93;79.9;53.6;50.4
2023-01-03 17:00:00;34;78.9;74.1;69.0
2023-01-03 18:00:00;42;79.2;67.6;65.5
2023-01-03 19:00:00;55;79.5;72.8;68.9
2023-01-03 20:00:00;63;79.4;69.5;67.1
2023-01-03 21:00:00;63;80.0;73.0;68.1
2023-01-03 22:00:00;70;80.2;70.2;65.2
2023-01-03 23:00:00;52;80.0;73.7;70.2
2023-01-04 00:00:00;33;79.4;74.4;68.2
2023-01-04 01:00:00;18;78.8;74.7;68.1
2023-01-04 02:00:00;34;78.1;67.5;66.4
2023-01-04 03:00:00;17;77.4;72.7;68.4
2023-01-04 04:00:00;60;77.1;47.6;44.2
2023-01-04 05:00:00;90;79.9;43.3;41.2
2023-01-04 06:00:00;34;78.9;73.8;70.4
2023-01-04 07:00:00;23;77.2;71.9;67.3
2023-01-04 08:00:00;41;79.3;73.8;68.6
2023-01-04 09:00:00;22;78.7;74.2;67.9
2023-01-04 10:00:00;34;79.1;73.4;66.4
2023-01-04 11:00:00;56;79.6;62.3;58.3
2023-01-04 12:00:00;67;79.5;59.9;54.4
2023-01-04 13:00:00;80;79.7;70.8;65.9
2023-01-04 14:00:00;145;80.6;67.5;66.9
2023-01-04 15:00:00;140;80.5;67.9;67.2
2023-01-04 16:00:00;130;80.7;68.9;68.2
2023-01-04 17:00:00;69;80.0;53.0;48.6
2023-01-04 18:00:00;35;78.9;73.9;68.9
2023-01-04 19:00:00;124;80.2;68.8;66.2
2023-01-04 20:00:00;143;80.5;68.0;67.1
2023-01-04 21:00:00;145;80.5;67.7;67.0
2023-01-04 22:00:00;139;80.5;68.5;67.6
2023-01-04 23:00:00;133;80.6;69.1;68.3
2023-01-05 00:00:00;99;80.3;62.6;58.8
2023-01-05 01:00:00;74;79.8;60.6;55.9
2023-01-05 02:00:00;58;79.6;59.9;56.5
2023-01-05 03:00:00;16;76.7;60.3;54.6
2023-01-05 04:00:00;60;79.0;42.0;38.5
2023-01-05 05:00:00;31;77.9;71.2;71.8
2023-01-05 06:00:00;20;73.6;65.8;69.0
2023-01-05 07:00:00;25;79.1;74.8;70.0
2023-01-05 08:00:00;41;79.1;73.3;68.2
2023-01-05 09:00:00;21;79.0;74.8;68.3
2023-01-05 10:00:00;49;79.6;72.1;67.2
2023-01-05 11:00:00;16;78.4;73.8;70.8
2023-01-05 12:00:00;38;79.0;73.2;68.3
2023-01-05 13:00:00;85;79.7;70.9;66.6
2023-01-05 14:00:00;156;80.7;67.0;66.4
2023-01-05 15:00:00;150;80.3;67.3;66.7
2023-01-05 16:00:00;140;80.6;68.0;67.4
2023-01-05 17:00:00;130;80.4;68.7;68.1
2023-01-05 18:00:00;131;80.3;68.5;68.0
2023-01-05 19:00:00;137;80.5;68.0;67.5
2023-01-05 20:00:00;135;80.5;68.4;67.9
2023-01-05 21:00:00;137;80.6;68.5;67.8
2023-01-05 22:00:00;140;80.7;68.3;67.6
2023-01-05 23:00:00;96;80.4;66.7;62.6
2023-01-06 00:00:00;79;80.5;62.8;58.2
2023-01-06 01:00:00;35;78.9;67.7;67.4
2023-01-06 02:00:00;0;72.1;64.4;66.3
2023-01-06 03:00:00;99;79.3;68.7;66.4
2023-01-06 04:00:00;50;80.2;42.8;38.9
2023-01-06 05:00:00;69;79.9;50.7;48.9
2023-01-06 06:00:00;0;76.3;71.3;73.3
2023-01-06 07:00:00;28;77.6;71.8;68.7
2023-01-06 08:00:00;38;79.8;74.2;68.4
2023-01-06 09:00:00;56;79.8;71.1;69.5
2023-01-06 10:00:00;29;80.0;74.9;68.5
2023-01-06 11:00:00;79;80.2;71.9;68.0
2023-01-06 12:00:00;151;81.2;67.9;67.4
2023-01-06 13:00:00;149;81.1;68.0;67.5
2023-01-06 14:00:00;149;81.0;67.9;67.3
2023-01-06 15:00:00;147;81.0;67.8;67.3
2023-01-06 16:00:00;137;81.1;69.0;68.2
2023-01-06 17:00:00;135;81.0;68.9;68.2
2023-01-06 18:00:00;134;81.0;68.7;68.0
2023-01-06 19:00:00;131;81.0;69.0;68.4
2023-01-06 20:00:00;132;81.0;69.0;68.4
2023-01-06 21:00:00;134;81.0;68.7;68.1
2023-01-06 22:00:00;130;81.0;69.0;68.6
