Site;SS39 Av. de Gilamont 46 (ID 3239);SS39 Av. de Gilamont 46 (ID 3239);SS39 Av. de Gilamont 46 (ID 3239);SS39 Av. de Gilamont 46 (ID 3239)
Object;Compteur d'énergie sous-station;Compteur d'énergie sous-station;Compteur d'énergie sous-station;Régulation primaire (échangeur 1)
Time Stamp;Puissance [kW];Température depart [°C];Température retour [°C];Temp depart secondaire [°C]
2023-01-01 00:00:00;;;;
2023-05-09 11:00:00;0;71.8;58.6;71.7
2023-05-09 12:00:00;0;68.7;52.6;68.7
2023-05-09 13:00:00;0;65.4;48.9;65.3
2023-05-09 14:00:00;9;65.2;50.7;64.8
2023-05-10 09:00:00;0;65.2;48.0;65.1
2023-05-10 10:00:00;46;75.7;66.4;74.9
2023-05-10 11:00:00;0;73.0;61.9;72.9
2023-05-10 12:00:00;0;69.3;52.8;69.1
2023-05-10 13:00:00;0;65.8;48.7;65.6
2023-05-10 14:00:00;33;76.3;67.3;75.6
2023-05-10 15:00:00;0;75.0;60.9;75.0
2023-05-10 16:00:00;0;71.3;53.0;71.1
2023-05-10 17:00:00;0;67.6;49.2;67.5
2023-05-10 18:00:00;20;77.3;66.6;76.5
2023-05-10 19:00:00;0;74.5;57.9;74.3
2023-05-10 20:00:00;0;70.6;52.2;70.4
2023-05-10 21:00:00;37;77.2;63.8;76.2
2023-05-10 22:00:00;0;75.7;60.8;75.4
2023-05-10 23:00:00;0;71.6;53.6;71.3
2023-05-11 00:00:00;0;67.9;50.0;67.6
2023-05-11 01:00:00;0;64.5;47.6;64.2
2023-05-11 02:00:00;0;61.3;45.7;61.0
2023-05-11 03:00:00;0;58.3;44.3;58.1
2023-05-11 04:00:00;0;55.6;42.8;55.4
2023-05-11 05:00:00;0;53.1;41.7;52.8
2023-05-11 06:00:00;41;73.7;64.1;72.9
2023-05-11 07:00:00;0;75.8;61.4;75.8
2023-05-11 08:00:00;0;71.6;50.4;71.5
2023-05-11 09:00:00;23;71.6;51.3;71.1
2023-05-11 10:00:00;15;77.8;67.1;77.3
2023-05-11 11:00:00;0;73.2;54.0;73.2
2023-05-11 12:00:00;0;69.4;48.0;69.3
2023-05-11 13:00:00;26;73.3;56.4;72.5
2023-05-11 14:00:00;2;76.9;63.9;76.7
2023-05-11 15:00:00;0;72.5;51.9;72.5
2023-05-11 16:00:00;0;68.6;46.6;68.6
2023-05-11 17:00:00;22;76.5;65.0;75.7
2023-05-11 18:00:00;0;74.8;57.7;74.8
2023-05-11 19:00:00;0;70.9;50.2;70.8
2023-05-11 20:00:00;17;70.2;49.9;69.7
2023-05-11 21:00:00;18;77.9;67.6;77.3
2023-05-11 22:00:00;0;73.4;55.0;73.3
2023-05-11 23:00:00;0;69.5;49.0;69.4
2023-05-12 00:00:00;0;65.7;45.6;65.7
2023-05-12 01:00:00;0;62.4;43.2;62.2
2023-05-12 02:00:00;0;59.2;41.4;59.1
2023-05-12 03:00:00;0;56.4;40.0;56.3
2023-05-12 04:00:00;0;53.9;38.7;53.5
2023-05-12 05:00:00;0;51.5;37.7;51.1
2023-05-12 06:00:00;49;76.6;64.7;75.4
2023-05-12 07:00:00;21;78.7;37.6;45.2
2023-05-12 08:00:00;21;76.0;27.0;34.7
2023-05-12 09:00:00;18;77.4;27.3;35.8
2023-05-12 10:00:00;14;76.8;33.7;39.9
2023-05-12 11:00:00;50;76.5;53.3;63.1
2023-05-12 12:00:00;32;76.8;60.2;68.0
2023-05-12 13:00:00;6;72.2;45.9;48.1
2023-05-12 14:00:00;0;60.3;28.0;52.8
2023-05-12 15:00:00;0;58.7;28.0;52.3
2023-05-12 16:00:00;25;69.5;50.4;66.0
2023-05-12 17:00:00;1;76.4;63.1;76.3
2023-05-12 18:00:00;0;72.0;50.7;72.0
2023-05-12 19:00:00;3;68.6;46.8;68.5
2023-05-12 20:00:00;33;78.9;66.0;77.6
2023-05-12 21:00:00;0;73.9;55.8;73.8
2023-05-12 22:00:00;0;69.8;48.3;69.8
2023-05-12 23:00:00;30;74.6;40.3;51.1
2023-05-13 00:00:00;12;75.4;49.5;47.8
2023-05-13 01:00:00;8;77.5;26.0;32.4
2023-05-13 02:00:00;8;77.0;26.0;32.4
2023-05-13 03:00:00;8;77.3;26.0;32.5
2023-05-13 04:00:00;8;76.5;26.0;32.7
2023-05-13 05:00:00;8;76.7;27.0;32.9
2023-05-13 06:00:00;40;77.7;54.1;59.7
2023-05-13 07:00:00;13;77.7;28.2;35.5
2023-05-13 08:00:00;13;77.7;28.0;35.5
2023-05-13 09:00:00;17;78.1;30.0;38.0
2023-05-13 10:00:00;44;76.6;65.5;68.8
2023-05-13 11:00:00;9;77.3;28.1;34.4
2023-05-13 12:00:00;7;77.5;28.0;33.8
2023-05-13 13:00:00;49;78.9;50.9;62.8
2023-05-13 14:00:00;7;74.3;48.8;46.4
2023-05-13 15:00:00;5;76.7;27.0;32.7
2023-05-13 16:00:00;7;77.0;27.0;33.0
2023-05-13 17:00:00;37;78.4;55.0;64.1
2023-05-13 18:00:00;5;74.0;34.7;34.3
2023-05-13 19:00:00;9;77.9;27.0;33.7
2023-05-13 20:00:00;10;77.1;27.8;34.1
2023-05-13 21:00:00;31;76.9;59.8;63.0
2023-05-13 22:00:00;10;77.5;28.0;34.6
2023-05-13 23:00:00;2;72.9;27.7;39.7
2023-05-14 00:00:00;4;75.7;27.0;32.3
2023-05-14 01:00:00;4;76.4;27.0;32.2
2023-05-14 02:00:00;5;77.0;26.8;32.2
2023-05-14 03:00:00;6;76.8;26.0;32.3
2023-05-14 04:00:00;6;76.0;26.0;32.3
2023-05-14 05:00:00;6;76.0;26.3;32.4
2023-05-14 06:00:00;61;78.6;59.0;70.5
2023-05-14 07:00:00;11;76.7;37.9;39.6
2023-05-14 08:00:00;14;78.0;28.0;35.6
2023-05-14 09:00:00;21;78.0;28.6;37.7
2023-05-14 10:00:00;35;76.8;61.2;64.6
2023-05-14 11:00:00;6;77.1;28.0;33.7
2023-05-14 12:00:00;1;65.9;27.4;44.4
2023-05-14 13:00:00;46;71.8;53.5;68.6
2023-05-14 14:00:00;5;77.2;63.8;76.7
2023-05-14 15:00:00;0;72.5;52.4;72.5
2023-05-14 16:00:00;0;68.6;47.5;68.6
2023-05-14 17:00:00;22;73.5;59.5;72.9
2023-05-14 18:00:00;0;75.9;61.9;75.8
2023-05-14 19:00:00;0;71.8;52.2;71.7
2023-05-14 20:00:00;8;69.3;49.8;69.0
2023-05-14 21:00:00;27;78.6;66.2;77.7
2023-05-14 22:00:00;1;74.0;54.3;71.3
2023-05-14 23:00:00;8;76.5;26.0;32.1
2023-05-15 00:00:00;7;77.0;26.0;32.2
2023-05-15 01:00:00;7;77.5;26.0;32.3
2023-05-15 02:00:00;7;77.0;26.0;32.3
2023-05-15 03:00:00;7;75.8;26.0;32.4
2023-05-15 04:00:00;7;76.2;26.2;32.6
2023-05-15 05:00:00;7;77.0;26.9;32.6
2023-05-15 06:00:00;58;78.5;59.4;70.4
2023-05-15 07:00:00;11;77.1;33.8;36.6
2023-05-15 08:00:00;14;76.0;28.0;35.5
2023-05-15 09:00:00;35;77.7;34.6;47.6
2023-05-15 10:00:00;26;76.9;59.0;59.9
2023-05-15 11:00:00;8;77.6;28.0;34.3
2023-05-15 12:00:00;1;64.6;27.5;44.7
2023-05-15 13:00:00;16;59.3;37.8;54.5
2023-05-15 14:00:00;13;78.0;66.5;77.7
2023-05-15 15:00:00;0;73.3;51.7;73.3
2023-05-15 16:00:00;0;69.2;45.8;69.2
2023-05-15 17:00:00;18;71.9;53.6;71.2
2023-05-15 18:00:00;2;76.8;63.3;76.6
2023-05-15 19:00:00;0;72.4;52.2;72.4
2023-05-15 20:00:00;0;68.5;47.2;68.4
2023-05-15 21:00:00;36;78.4;65.7;77.3
2023-05-15 22:00:00;0;74.8;57.2;74.7
2023-05-15 23:00:00;0;70.7;50.1;70.6
2023-05-16 00:00:00;2;67.7;42.3;59.0
2023-05-16 01:00:00;8;76.8;25.9;32.0
2023-05-16 02:00:00;7;76.8;26.0;32.0
2023-05-16 03:00:00;6;75.7;26.0;34.8
