Site;SS41 Copet 5 (ID 3240);SS41 Copet 5 (ID 3240);SS41 Copet 5 (ID 3240);SS41 Copet 5 (ID 3240)
Object;Compteur d'énergie sous-station;Compteur d'énergie sous-station;Compteur d'énergie sous-station;Régulation primaire (échangeur 1)
Time Stamp;Puissance [kW];Température depart [°C];Température retour [°C];Temp depart secondaire [°C]
2023-01-01 00:00:00;0;61.0;26.0;37.2
2023-01-01 01:00:00;0;58.6;23.9;36.5
2023-01-01 02:00:00;0;54.7;21.5;35.3
2023-01-01 03:00:00;0;51.3;20.0;33.8
2023-01-01 04:00:00;0;48.2;19.0;32.4
2023-01-01 05:00:00;0;45.3;18.1;30.9
2023-01-01 06:00:00;0;42.8;17.6;29.6
2023-01-01 07:00:00;10;58.3;40.7;47.4
2023-01-01 08:00:00;2;75.5;54.2;49.1
2023-01-01 09:00:00;2;75.7;65.0;49.4
2023-01-01 10:00:00;3;75.9;64.8;47.8
2023-01-01 11:00:00;7;75.7;63.7;47.7
2023-01-01 12:00:00;5;76.9;58.6;66.1
2023-01-01 13:00:00;0;71.8;43.7;57.7
2023-01-01 14:00:00;0;66.7;35.1;42.6
2023-01-01 15:00:00;1;68.6;53.1;41.3
2023-01-01 16:00:00;2;73.7;61.4;43.9
2023-01-01 17:00:00;1;75.6;65.9;48.8
2023-01-01 18:00:00;9;76.4;62.9;57.3
2023-01-01 19:00:00;0;74.6;51.9;62.4
2023-01-01 20:00:00;0;69.3;39.0;45.1
2023-01-01 21:00:00;10;74.3;61.1;57.7
2023-01-01 22:00:00;0;74.3;50.3;63.0
2023-01-01 23:00:00;0;69.0;38.8;58.4
2023-01-02 00:00:00;0;64.1;33.4;54.6
2023-01-02 01:00:00;0;59.7;29.6;51.1
2023-01-02 02:00:00;0;55.8;27.0;47.9
2023-01-02 03:00:00;10;53.6;26.8;46.1
2023-01-02 04:00:00;50;76.8;40.5;51.7
2023-01-02 05:00:00;30;77.2;45.7;51.0
2023-01-02 06:00:00;28;76.9;46.0;50.9
2023-01-02 07:00:00;43;77.6;52.1;60.3
2023-01-02 08:00:00;27;77.9;47.6;52.4
2023-01-02 09:00:00;33;77.4;46.5;51.4
2023-01-02 10:00:00;29;77.0;46.4;51.7
2023-01-02 11:00:00;30;77.8;53.3;59.0
2023-01-02 12:00:00;26;77.3;46.2;50.5
2023-01-02 13:00:00;33;77.6;51.9;58.6
2023-01-02 14:00:00;23;77.4;49.6;52.2
2023-01-02 15:00:00;22;76.3;44.8;48.4
2023-01-02 16:00:00;23;76.7;44.6;49.3
2023-01-02 17:00:00;27;76.5;45.0;49.3
2023-01-02 18:00:00;29;77.0;51.8;56.8
2023-01-02 19:00:00;0;74.7;51.4;62.8
2023-01-02 20:00:00;0;69.5;39.4;49.2
2023-01-02 21:00:00;10;72.2;53.4;50.3
2023-01-02 22:00:00;0;74.9;51.4;64.1
2023-01-02 23:00:00;0;69.5;39.9;59.6
2023-01-03 00:00:00;0;64.7;34.6;55.7
2023-01-03 01:00:00;4;61.5;34.4;53.6
2023-01-03 02:00:00;10;78.3;69.8;73.6
2023-01-03 03:00:00;0;74.3;52.5;68.4
2023-01-03 04:00:00;0;69.0;42.2;63.8
2023-01-03 05:00:00;9;64.8;37.1;59.1
2023-01-03 06:00:00;60;75.6;40.9;51.1
2023-01-03 07:00:00;30;76.9;46.0;50.7
2023-01-03 08:00:00;28;76.7;46.2;51.1
2023-01-03 09:00:00;26;76.3;46.6;50.8
2023-01-03 10:00:00;25;76.0;46.6;51.2
2023-01-03 11:00:00;33;76.2;47.4;52.8
2023-01-03 12:00:00;31;77.7;52.0;58.4
2023-01-03 13:00:00;27;77.0;46.0;50.8
2023-01-03 14:00:00;32;77.0;45.8;51.8
2023-01-03 15:00:00;24;76.5;45.9;50.3
2023-01-03 16:00:00;31;77.3;51.6;57.8
2023-01-03 17:00:00;28;77.4;45.9;50.9
2023-01-03 18:00:00;38;77.4;51.3;58.0
2023-01-03 19:00:00;0;74.8;50.8;61.5
2023-01-03 20:00:00;1;70.9;46.4;44.2
2023-01-03 21:00:00;10;75.4;62.0;54.7
2023-01-03 22:00:00;0;75.2;50.4;62.9
2023-01-03 23:00:00;0;69.8;39.4;58.2
2023-01-04 00:00:00;0;64.9;34.0;54.5
2023-01-04 01:00:00;0;60.5;30.5;51.1
2023-01-04 02:00:00;0;56.6;27.9;48.0
2023-01-04 03:00:00;0;53.1;25.7;45.1
2023-01-04 04:00:00;0;49.9;24.1;42.6
2023-01-04 05:00:00;11;48.7;25.2;41.9
2023-01-04 06:00:00;57;77.7;38.3;52.3
2023-01-04 07:00:00;44;77.6;49.4;59.6
2023-01-04 08:00:00;30;77.4;48.1;53.1
2023-01-04 09:00:00;31;77.0;46.5;51.4
2023-01-04 10:00:00;21;77.2;46.8;52.3
2023-01-04 11:00:00;31;77.3;47.4;53.3
2023-01-04 12:00:00;31;77.8;53.0;58.5
2023-01-04 13:00:00;36;77.3;46.0;51.9
2023-01-04 14:00:00;26;77.1;45.7;50.8
2023-01-04 15:00:00;34;77.9;51.9;57.6
2023-01-04 16:00:00;27;77.3;46.0;50.3
2023-01-04 17:00:00;31;76.7;46.3;51.7
2023-01-04 18:00:00;29;77.4;52.2;58.0
2023-01-04 19:00:00;0;75.1;50.9;61.7
2023-01-04 20:00:00;1;70.0;42.1;42.1
2023-01-04 21:00:00;9;75.3;63.2;58.8
2023-01-04 22:00:00;0;74.5;51.0;63.6
2023-01-04 23:00:00;0;69.3;39.8;59.1
2023-01-05 00:00:00;0;64.5;34.4;55.3
2023-01-05 01:00:00;0;60.1;30.7;51.8
2023-01-05 02:00:00;0;56.3;28.0;48.6
2023-01-05 03:00:00;0;52.7;25.9;45.6
2023-01-05 04:00:00;0;49.6;24.2;43.0
2023-01-05 05:00:00;10;48.5;25.3;42.2
2023-01-05 06:00:00;59;77.4;41.3;51.5
2023-01-05 07:00:00;36;78.0;51.9;59.3
2023-01-05 08:00:00;26;77.3;48.3;53.1
2023-01-05 09:00:00;29;77.0;46.8;51.9
2023-01-05 10:00:00;28;76.7;46.8;51.7
2023-01-05 11:00:00;36;77.1;47.6;52.5
2023-01-05 12:00:00;27;78.2;53.6;59.6
2023-01-05 13:00:00;25;77.0;46.6;50.8
2023-01-05 14:00:00;32;76.9;46.0;51.0
2023-01-05 15:00:00;24;76.1;46.7;51.0
2023-01-05 16:00:00;35;77.0;48.8;54.6
2023-01-05 17:00:00;25;77.8;50.8;54.5
2023-01-05 18:00:00;27;77.3;51.9;57.7
2023-01-05 19:00:00;0;75.2;51.5;62.1
2023-01-05 20:00:00;1;70.6;44.3;42.7
2023-01-05 21:00:00;11;75.2;61.8;56.6
2023-01-05 22:00:00;0;74.3;51.0;63.2
2023-01-05 23:00:00;0;69.0;39.4;58.6
2023-01-06 00:00:00;0;64.1;33.8;54.9
2023-01-06 01:00:00;0;59.8;30.1;51.4
2023-01-06 02:00:00;0;55.9;27.3;48.2
2023-01-06 03:00:00;0;52.3;25.0;45.3
2023-01-06 04:00:00;0;49.2;23.4;42.7
2023-01-06 05:00:00;11;48.1;24.7;41.9
2023-01-06 06:00:00;46;78.7;43.5;53.8
2023-01-06 07:00:00;38;78.5;52.4;60.0
2023-01-06 08:00:00;25;78.0;48.5;53.5
2023-01-06 09:00:00;37;77.6;48.0;53.7
2023-01-06 10:00:00;32;78.2;51.3;58.0
2023-01-06 11:00:00;26;78.1;50.2;54.3
2023-01-06 12:00:00;27;77.3;49.9;55.4
2023-01-06 13:00:00;21;78.1;52.6;56.7
2023-01-06 14:00:00;28;77.4;46.9;51.4
2023-01-06 15:00:00;21;76.9;47.5;51.6
2023-01-06 16:00:00;26;77.0;47.4;51.3
2023-01-06 17:00:00;30;77.4;51.5;57.2
2023-01-06 18:00:00;16;77.9;51.3;52.5
2023-01-06 19:00:00;8;76.4;59.3;65.3
2023-01-06 20:00:00;0;72.7;47.1;59.1
2023-01-06 21:00:00;1;69.7;46.1;43.8
2023-01-06 22:00:00;7;76.5;61.7;61.7
2023-01-06 23:00:00;0;73.5;46.9;59.9
2023-01-07 00:00:00;0;68.3;37.5;55.3
