Site;SS47 Rue des Moulins 11 (ID 3247);SS47 Rue des Moulins 11 (ID 3247);SS47 Rue des Moulins 11 (ID 3247);SS47 Rue des Moulins 11 (ID 3247)
Object;Compteur d'énergie sous-station;Compteur d'énergie sous-station;Compteur d'énergie sous-station;Régulation primaire (échangeur 1)
Time Stamp;Puissance [kW];Température depart [°C];Température retour [°C];Temp depart secondaire [°C]
2023-01-01 00:00:00;;;;
2023-03-15 16:00:00;28;79.1;40.4;49.9
2023-03-15 17:00:00;9;76.6;33.2;41.5
2023-03-15 18:00:00;49;78.5;37.5;53.2
2023-03-15 19:00:00;45;79.0;41.9;56.1
2023-03-15 20:00:00;47;79.4;43.0;57.5
2023-03-15 21:00:00;48;79.0;43.5;58.5
2023-03-15 22:00:00;48;79.9;44.0;59.0
2023-03-15 23:00:00;9;77.0;36.7;46.3
2023-03-16 00:00:00;12;76.0;34.0;46.8
2023-03-16 01:00:00;12;76.1;34.0;47.2
2023-03-16 02:00:00;12;76.0;34.0;47.2
2023-03-16 03:00:00;13;76.5;34.0;47.5
2023-03-16 04:00:00;44;77.6;36.2;57.7
2023-03-16 05:00:00;78;80.3;49.3;73.5
2023-03-16 06:00:00;85;81.0;55.5;75.9
2023-03-16 07:00:00;56;80.4;47.4;64.3
2023-03-16 08:00:00;59;80.4;46.0;63.9
2023-03-16 09:00:00;53;80.6;45.6;62.0
2023-03-16 10:00:00;52;80.5;44.9;60.8
2023-03-16 11:00:00;47;80.0;44.7;59.3
2023-03-16 12:00:00;45;80.1;44.4;58.4
2023-03-16 13:00:00;45;80.0;44.2;58.3
2023-03-16 14:00:00;43;80.0;44.8;58.2
2023-03-16 15:00:00;40;79.8;44.3;57.0
2023-03-16 16:00:00;12;67.2;41.5;48.6
2023-03-16 17:00:00;0;47.7;34.1;42.7
2023-03-16 18:00:00;45;74.2;36.0;50.7
2023-03-16 19:00:00;43;79.3;40.8;54.4
2023-03-16 20:00:00;44;79.1;42.4;56.2
2023-03-16 21:00:00;46;79.6;43.0;57.4
2023-03-16 22:00:00;46;79.7;43.7;58.1
2023-03-16 23:00:00;9;77.3;36.7;46.1
2023-03-17 00:00:00;11;76.0;34.0;46.4
2023-03-17 01:00:00;12;75.3;34.0;46.5
2023-03-17 02:00:00;12;76.0;34.0;46.7
2023-03-17 03:00:00;12;75.9;34.0;46.9
2023-03-17 04:00:00;28;76.5;34.5;51.8
2023-03-17 05:00:00;71;80.0;45.4;70.2
2023-03-17 06:00:00;81;80.6;51.9;73.1
2023-03-17 07:00:00;50;80.1;46.0;61.4
2023-03-17 08:00:00;53;80.0;44.9;61.1
2023-03-17 09:00:00;49;80.2;44.5;59.6
2023-03-17 10:00:00;46;80.0;43.7;57.9
2023-03-17 11:00:00;42;79.9;43.2;56.7
2023-03-17 12:00:00;39;80.0;50.0;62.1
2023-03-17 13:00:00;44;79.4;40.9;55.0
2023-03-17 14:00:00;34;79.0;42.1;53.2
2023-03-17 15:00:00;31;79.0;41.3;51.3
2023-03-17 16:00:00;21;73.9;40.0;48.7
2023-03-17 17:00:00;0;49.8;34.3;43.1
2023-03-17 18:00:00;40;74.8;35.2;49.7
2023-03-17 19:00:00;36;78.5;40.1;51.4
2023-03-17 20:00:00;38;77.9;41.0;53.0
2023-03-17 21:00:00;38;78.1;41.2;53.6
2023-03-17 22:00:00;38;78.6;42.0;54.0
2023-03-17 23:00:00;8;75.7;36.3;44.0
2023-03-18 00:00:00;10;75.0;34.0;44.3
2023-03-18 01:00:00;10;74.2;34.0;44.5
2023-03-18 02:00:00;11;74.0;33.9;44.7
2023-03-18 03:00:00;11;74.4;33.3;44.9
2023-03-18 04:00:00;11;74.0;33.0;45.1
2023-03-18 05:00:00;64;77.8;38.2;63.2
2023-03-18 06:00:00;74;79.6;50.0;70.5
2023-03-18 07:00:00;46;79.0;44.7;59.0
2023-03-18 08:00:00;49;79.2;43.7;58.7
2023-03-18 09:00:00;46;79.2;43.2;57.3
2023-03-18 10:00:00;43;79.0;42.9;56.4
2023-03-18 11:00:00;41;79.0;42.8;55.6
2023-03-18 12:00:00;37;79.0;42.9;54.7
2023-03-18 13:00:00;36;78.9;42.0;53.4
2023-03-18 14:00:00;33;79.0;41.0;51.9
2023-03-18 15:00:00;33;78.6;41.0;51.6
2023-03-18 16:00:00;24;76.1;40.6;48.6
2023-03-18 17:00:00;18;63.0;36.4;45.9
2023-03-18 18:00:00;37;78.0;39.3;50.9
2023-03-18 19:00:00;35;78.1;40.4;51.6
2023-03-18 20:00:00;37;77.7;41.0;52.9
2023-03-18 21:00:00;37;78.1;41.1;53.1
2023-03-18 22:00:00;36;78.0;41.0;52.9
2023-03-18 23:00:00;7;75.0;36.0;43.3
2023-03-19 00:00:00;9;73.4;33.9;43.5
2023-03-19 01:00:00;10;73.4;33.4;43.4
2023-03-19 02:00:00;10;73.0;33.0;43.4
2023-03-19 03:00:00;10;73.0;33.0;43.6
2023-03-19 04:00:00;10;73.0;33.0;43.5
2023-03-19 05:00:00;46;75.6;34.0;54.9
2023-03-19 06:00:00;69;78.9;46.5;66.7
2023-03-19 07:00:00;39;78.4;41.9;54.8
2023-03-19 08:00:00;44;78.8;47.2;61.0
2023-03-19 09:00:00;42;78.3;40.5;54.0
2023-03-19 10:00:00;39;78.2;41.0;53.2
2023-03-19 11:00:00;37;78.0;40.7;52.4
2023-03-19 12:00:00;34;78.2;40.1;51.2
2023-03-19 13:00:00;38;78.3;40.6;52.6
2023-03-19 14:00:00;38;78.0;40.8;52.6
2023-03-19 15:00:00;35;77.8;40.4;51.4
2023-03-19 16:00:00;32;77.9;39.6;49.8
2023-03-19 17:00:00;34;77.1;39.6;50.5
2023-03-19 18:00:00;36;77.6;40.0;51.5
2023-03-19 19:00:00;38;77.6;40.7;52.5
2023-03-19 20:00:00;40;77.8;41.4;53.9
2023-03-19 21:00:00;40;77.7;41.8;54.4
2023-03-19 22:00:00;39;77.9;41.6;53.9
2023-03-19 23:00:00;8;75.4;35.4;43.6
2023-03-20 00:00:00;10;74.1;32.9;43.7
2023-03-20 01:00:00;14;73.0;33.1;44.3
2023-03-20 02:00:00;24;77.9;64.1;75.0
2023-03-20 03:00:00;13;77.5;56.7;63.7
2023-03-20 04:00:00;11;75.2;33.3;44.2
2023-03-20 05:00:00;57;77.3;36.1;59.7
2023-03-20 06:00:00;69;78.7;48.1;68.0
2023-03-20 07:00:00;44;78.7;42.9;56.6
2023-03-20 08:00:00;44;78.9;42.0;56.0
2023-03-20 09:00:00;41;78.1;41.3;54.4
2023-03-20 10:00:00;40;78.5;41.4;54.0
2023-03-20 11:00:00;41;79.0;42.1;54.9
2023-03-20 12:00:00;37;78.4;42.2;54.0
2023-03-20 13:00:00;35;78.0;41.3;52.6
2023-03-20 14:00:00;32;78.0;40.6;50.9
2023-03-20 15:00:00;31;77.6;40.0;50.0
2023-03-20 16:00:00;8;63.0;38.5;46.0
2023-03-20 17:00:00;3;50.6;29.6;37.6
2023-03-20 18:00:00;23;55.2;28.2;42.1
2023-03-20 19:00:00;38;77.4;39.0;51.1
2023-03-20 20:00:00;39;77.2;40.3;52.6
2023-03-20 21:00:00;40;77.3;41.0;53.8
2023-03-20 22:00:00;41;77.7;42.0;54.5
2023-03-20 23:00:00;8;74.5;35.5;43.6
2023-03-21 00:00:00;10;73.3;33.0;44.2
2023-03-21 01:00:00;11;73.0;33.0;44.4
2023-03-21 02:00:00;11;73.0;33.0;44.7
2023-03-21 03:00:00;11;73.2;33.0;44.8
2023-03-21 04:00:00;11;73.9;33.0;45.0
2023-03-21 05:00:00;70;78.5;39.7;66.0
2023-03-21 06:00:00;76;79.1;50.0;70.6
2023-03-21 07:00:00;46;79.0;45.1;59.4
2023-03-21 08:00:00;47;79.1;43.8;58.5
2023-03-21 09:00:00;45;79.0;43.1;57.5
2023-03-21 10:00:00;42;79.0;43.0;56.3
2023-03-21 11:00:00;40;79.0;43.0;55.4
2023-03-21 12:00:00;38;79.0;43.0;54.8
2023-03-21 13:00:00;35;78.9;42.6;53.7
2023-03-21 14:00:00;33;78.4;42.0;52.6
2023-03-21 15:00:00;30;78.0;41.8;51.4
